signal_date,trade_date,top_coins,bottom_coins,short_return,long_return,combined_return,cum_short_return,cum_long_return,cum_combined_return,short_equity,long_equity,combined_equity
2023-07-15,2023-07-16,"['SNX', 'DOGE', 'ARB']","['BCH', 'LDO', 'FTM']",3.427932335643561,-4.711360475203578,-0.6417140697800083,1.0481853006868906,0.9706692558646812,1.0487259395214792,104818.53006868907,97066.92558646812,104872.59395214792
2023-07-16,2023-07-17,"['XRP', 'OP', 'ARB']","['SNX', 'INJ', 'FTM']",0.930301920714575,1.7679520919714289,1.3491270063430019,1.0579365886718286,0.9878302232798644,1.0628745843940879,105793.65886718286,98783.02232798643,106287.45843940879
2023-07-17,2023-07-18,"['LINK', 'SUI', 'DYDX']","['LDO', 'BCH', 'SOL']",4.399806113690996,-1.9213693572656492,1.2392183782126733,1.1044837473791858,0.9688503560679562,1.076045921581251,110448.37473791858,96885.03560679562,107604.5921581251
2023-07-18,2023-07-19,"['XRP', 'BCH', 'ETH']","['DYDX', 'COMP', 'LINK']",-0.4268121197252099,-0.8672152141564804,-0.6470136669408452,1.0997696768849763,0.9604483383777257,1.0690837574060608,109976.96768849762,96044.83383777257,106908.37574060608
2023-07-19,2023-07-20,"['OP', 'XRP', 'DYDX']","['SUI', 'APE', 'COMP']",1.957516484745751,2.0741467921370957,2.015831638441423,1.121297849604235,0.9803694467783213,1.0906346860292904,112129.7849604235,98036.94467783213,109063.46860292903
2023-07-20,2023-07-21,"['LINK', 'SNX', 'COMP']","['XRP', 'SOL', 'SUI']",-0.04529694875109458,-0.33940298415221504,-0.1923499664516548,1.1207899358919526,0.977042043620239,1.0885368505766029,112078.99358919526,97704.2043620239,108853.68505766029
2023-07-21,2023-07-22,"['SNX', 'DOGE', 'AAVE']","['GMX', 'MKR', 'COMP']",2.4248739651883082,-0.04162564151485674,1.1916241618367258,1.1479676792518474,0.9766353436017123,1.1015081186985702,114796.76792518474,97663.53436017124,110150.81186985702
2023-07-22,2023-07-23,"['OP', 'MKR', 'APT']","['XRP', 'SOL', 'APE']",0.2010822881453526,1.8082206849399023,1.0046514865426275,1.150276038928456,0.9942950659011525,1.1125744363874632,115027.60389284561,99429.50659011524,111257.44363874632
2023-07-23,2023-07-24,"['BCH', 'GMX', 'DYDX']","['SNX', 'MKR', 'SUI']",2.8046292546735145,-3.8653124185914045,-0.530341581958945,1.1825370172257432,0.9558624552414337,1.106673991521055,118253.70172257432,95586.24552414336,110667.3991521055
2023-07-24,2023-07-25,"['DOGE', 'GMX', 'MKR']","['COMP', 'APT', 'CFX']",-5.3784186884773035,-1.3139736550322485,-3.346196171754776,1.1189352252931117,0.9433026744012167,1.0696425087829717,111893.52252931117,94330.26744012168,106964.25087829717
