beta_window,z_entry,z_exit,rows_aligned,split_ratio,split_date,returns_corr,price_beta_static,full_return,full_sharpe,full_mdd,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd
90,1.75,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.17700397350672437,0.35045681635556913,-0.45709452880877655,0.06997275543011461,0.31320634106247186,-0.45709452880877655,0.10003172280174932,0.47787950559478276,-0.19522088839849283
90,2.0,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.27636149278841304,0.42774245205719547,-0.5514876061985399,0.6211699106597197,0.6963737884252634,-0.5514876061985399,-0.21269110387756318,-0.32641859360077075,-0.4079209287144817
90,2.0,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.41437949967849774,0.48697463837743316,-0.5514876061985399,0.38558205612817287,0.5647366635272991,-0.5514876061985399,0.02078364354024198,0.2768089408847621,-0.23592761329340628
90,2.0,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.5472855468716338,0.5541784059519612,-0.4250754477151244,0.5352686137014298,0.6751487253404991,-0.4250754477151244,0.007827251246433464,0.21746056283227047,-0.22160050866893244
90,2.0,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.5353453365730589,0.5529626967789836,-0.43231658816994045,0.4051788925451789,0.586086483422991,-0.43231658816994045,0.09263336128833477,0.46884524010523526,-0.20243738730092953
90,2.25,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.23767517567630025,0.3971246216786543,-0.5175772401137712,0.781543328170148,0.7833952364705848,-0.5175772401137712,-0.30527921712264117,-0.9598071439014851,-0.3787909802682994
90,2.25,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.5579347835271853,0.558446184542278,-0.5175772401137712,0.8687059105957435,0.853748114125972,-0.5175772401137712,-0.16630285445476256,-0.48171912496122465,-0.2343882693139584
90,2.25,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.6882187091591054,0.6432481251728052,-0.3572010981544531,1.0705850801741366,1.014111635506619,-0.3572010981544531,-0.18466585830072435,-0.7264229369457371,-0.234168436250895
90,2.25,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.570918820565874,0.585208659539625,-0.357201098154453,0.7918624973138504,0.8604993069909433,-0.357201098154453,-0.12330392375485699,-0.4618731381401281,-0.18735456002559103
120,1.5,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.2435261773987999,0.12474144992942268,-0.5294330354806447,0.5232954767069298,0.6456326663568782,-0.5039357684746527,-0.5033965280087682,-1.1757351620906489,-0.5294330354806449
120,1.5,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.10427635982583616,0.199230560242809,-0.4608666666328892,0.4262517417268734,0.5922469860482669,-0.4608666666328892,-0.371973674794857,-0.7399902363093992,-0.4164187322109072
120,1.5,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.528108028310021,0.5412235429454894,-0.4470050495446706,0.9882790726233948,0.9215893929020506,-0.4470050495446706,-0.23144187888383894,-0.43728510737542153,-0.30844662576071047
120,1.5,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.5482184455340242,0.5527377150454877,-0.4501705742861587,0.5937925647948299,0.7093622805074723,-0.4501705742861587,-0.028594762121175288,0.12795455843323253,-0.3085148388869704
