date,asset_close,btc_close,a_ret,b_ret,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_net,source,beta_window,z_entry,z_exit,rolling_vol,rolling_corr,drawdown_depth,signal_density,ou_kappa,ou_half_life,ou_sigma,ou_regime,vol_regime,corr_regime,dd_regime,ret_baseline,ret_guard_ou,ret_guard_ou_corr,ret_guard_ou_corr_vol,ret_size_ou_soft,ret_size_ou_corr_soft,ret_size_adaptive,guard_ou_active,guard_ou_corr_active,guard_ou_corr_vol_active,horizon,fold,vol_thr_train_q75
2025-06-18,369.0299987792969,104883.328125,-0.016392115828519183,0.0026979724986506692,0.16370356959995735,-0.5969549376254556,1.522033013370359,0,-0.020498519040630818,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.027889151399151376,0.635826866951548,-0.00044999999999995044,1.0,0.02226792006802378,31.127612208168856,0.04472812714989213,medium,low,mid,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,3m,6,0.043905908629423715
2025-06-20,369.70001220703125,103309.6015625,0.0018156069423913568,-0.015004544484176097,0.1913104173078075,-0.13458042518340999,1.5071257030605687,0,0.024429341597208835,0.0,0.0,yahoo_daily,120,2.25,0.75,0.028197368753144495,0.6313739230131539,-0.00044999999999995044,1.0,0.022187631298890575,31.240251436601255,0.04475532105528589,medium,low,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,6,0.043905908629423715
2025-06-23,367.17999267578125,105577.7734375,-0.006816390175932163,0.021955092660267406,0.1474188969793051,-0.7717469621321508,1.4964182461346283,0,-0.039670391428332764,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.028211725656603726,0.5337079069270465,-0.00044999999999995044,0.0,0.022875887869873327,30.300340013153924,0.04481735272901681,medium,low,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,6,0.043905908629423715
2025-06-24,377.0199890136719,106045.6328125,0.026798835813963695,0.004431419225533917,0.16632129712527632,-0.40963421538864997,1.485293930939714,0,0.020216875732828602,0.0,0.0,yahoo_daily,120,2.25,0.75,0.028497238020415067,0.530939740077288,-0.00044999999999995044,0.0,0.02215002294203141,31.293294023846993,0.04482311936544561,medium,mid,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,3m,6,0.043905908629423715
2025-06-25,388.6700134277344,107361.2578125,0.030900283150875785,0.012406215749838134,0.17571804995783413,-0.1879798613331698,1.484413620215911,0,0.012484327516478905,0.0,0.0,yahoo_daily,120,2.25,0.75,0.028413297219981894,0.5408224976011492,-0.00044999999999995044,0.0,0.021881590637954657,31.67718435229515,0.044830573041201166,medium,mid,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,3m,6,0.043905908629423715
2025-06-26,386.44000244140625,106960.0,-0.005737543183898741,-0.003737454466123835,0.17635231092723824,-0.10423258481560924,1.4740568705465842,0,-0.00022832274975388613,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.028038375715387236,0.5360589319724399,-0.00044999999999995044,0.0,0.02073112106408075,33.43510360184569,0.04475503284504626,medium,low,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,6,0.043905908629423715
2025-06-27,383.8800048828125,107088.4296875,-0.006624566666029619,0.0012007263229245613,0.16765840287242195,-0.21534618011193327,1.47873001321178,0,-0.008400116717391588,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.028046022027998507,0.5337954818366849,-0.00044999999999995044,0.0,0.02105698817601469,32.917679146036946,0.044752725996075805,medium,low,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,6,0.043905908629423715
2025-06-30,404.2300109863281,107135.3359375,0.05301137294120828,0.00043801417330402437,0.21856531459744488,1.0684256025148575,1.487212706076667,0,0.052359952697228866,0.0,0.0,yahoo_daily,120,2.25,0.75,0.02850808189611702,0.5232562603491523,-0.00044999999999995044,1.0,0.020053503302636874,34.564892233508246,0.04486679008553565,medium,mid,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,3m,6,0.043905908629423715
2025-07-01,373.29998779296875,105698.28125,-0.07651590023682209,-0.013413452013053329,0.16200285272680226,-0.2746382804395738,1.4720182840287825,0,-0.05677105362166491,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.030166795000243673,0.522334988082426,-0.00044999999999995044,2.0,0.022557471276394358,30.72805333837666,0.044754980443276825,medium,mid,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,6,0.043905908629423715
2025-07-02,402.2799987792969,108859.3203125,0.07763196339133116,0.02990624847553991,0.18649459079096786,0.5331290124309949,1.4558190553687653,0,0.03409387698604707,0.0,0.0,yahoo_daily,120,2.25,0.75,0.03091295335795467,0.5512027101980466,-0.00044999999999995044,3.0,0.024579163084342083,28.20060138668871,0.044489263315504575,medium,mid,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,3m,7,0.04404377424199102
