beta_window,z_entry,z_exit,rows_aligned,split_ratio,split_date,split_method,returns_corr,price_beta_static,full_return,full_sharpe,full_mdd,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd
120,1.5,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.10427635982583616,0.199230560242809,-0.4608666666328892,0.10075699166856311,0.36387004823651836,-0.4608666666328892,-0.1862657725967316,-0.6049185290667284,-0.41641873221090664
120,1.5,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.528108028310021,0.5412235429454894,-0.4470050495446706,0.6352901094504717,0.7175123718738649,-0.4470050495446706,-0.06554315990847104,-0.3199362154078289,-0.3084466257607109
120,1.5,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.5482184455340242,0.5527377150454877,-0.4501705742861587,0.5503384437585004,0.6718313664671779,-0.4501705742861587,-0.0013674422078683302,-0.16003282745712677,-0.30851483888696996
120,1.75,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.0645548505327701,0.24210956579253207,-0.5271522680531626,0.2782741809615772,0.4963028029253246,-0.5271522680531626,-0.2681967895467112,-0.8325509476690105,-0.48879900974531776
120,1.75,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.07099771291469992,0.30416720842090245,-0.4687179658519961,0.08339077647347004,0.34210406519479053,-0.4687179658519961,-0.01143914442313243,-0.12054124156538934,-0.32280678708087596
120,1.75,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.28560022343119673,0.41584721855761836,-0.44700504954467035,0.21139649904269997,0.4307912705706186,-0.44700504954467035,0.061254696085993876,0.014200707173825407,-0.22576878830369196
120,1.75,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.33286078936371055,0.44247112951716566,-0.4501705742861589,0.2607275078298401,0.4699518783976542,-0.4501705742861589,0.05721560058448971,-0.019667061383584504,-0.19650236793871445
120,2.0,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.4257920273184985,0.49497901641630293,-0.5257200329609673,0.5532329802418121,0.6595426854478769,-0.5257200329609673,-0.08204883268926721,-0.28979939269475297,-0.40276659293942174
120,2.0,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.5930929648567111,0.5720172520150076,-0.4384018724479032,0.36941941590016225,0.5517553981075056,-0.4384018724479032,0.1633345827870576,0.3267792580787874,-0.2350325160381821
120,2.0,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.7569962831221688,0.6629089562821795,-0.41831241012156883,0.5397317930176126,0.6825810905127052,-0.41831241012156883,0.14110541270227017,0.2492349512255716,-0.22367459968853576
120,2.0,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.7504957064528293,0.6726340179741314,-0.42526099259185113,0.6864083825243208,0.790155783894281,-0.42526099259185113,0.03800225650715605,0.3009491184556244,-0.2010606104467625
