date,vol_regime,ret_roll40,ret_mlbeta,beta_roll40,beta_ml
2023-10-03,low,-0.0,-0.0,1.1394017954670073,1.201528042532709
2023-10-04,low,0.013180044036948741,0.012559055215464498,1.1511388232152124,1.1972486541680951
2023-10-05,low,0.024993305073778227,0.025686167287729107,1.1285292285807047,1.178756172353617
2023-10-06,low,0.03184506881892968,0.030553593603339525,1.1038728182801358,1.1705921235458505
2023-10-09,low,0.014311882410069135,0.014413268699655243,1.142779894436395,1.1505871314386638
2023-10-10,low,0.007941764045381909,0.008026855202284204,1.1328362796665796,1.145019135169053
2023-10-11,low,0.004153822702694047,0.00487392292989083,1.1288980709405065,1.1669979534074524
2023-10-12,low,-0.00045,-0.00045,1.1165120841738483,1.1567090706686687
2023-10-13,low,-0.0,-0.0,1.121634778153928,1.155765489920028
2023-10-16,low,-0.0,-0.0,1.2163047886929277,1.1548847632014942
2023-10-17,low,0.0,0.0,1.0054949817008028,1.1705907336372159
2023-10-18,low,-0.0,-0.0,0.9920812487375923,1.1727437741517153
2023-10-19,low,0.0,0.0,0.9924149637271122,1.0628057864676141
2023-10-20,low,-0.0,-0.0,0.9821387967952819,1.0568885598826185
2023-10-23,low,-0.0,-0.0,0.944505850005898,1.0515460488128896
2023-10-24,low,0.10373335745089406,0.10006540894508319,0.8656092555355197,1.0144620098095507
2023-10-25,low,0.003098058480663246,0.0015291580085409484,0.9333877059892315,1.0218439577991383
2023-10-26,low,-0.037327410594161316,-0.03560592102958352,0.8280096336388766,0.9995898497279844
2023-10-27,low,-0.010107986059809788,-0.008929829123085278,0.8403281419528027,1.003351331653032
2023-10-30,low,0.018071869182566813,0.01575526746449873,0.8594678143825621,0.9920369572986096
2023-10-31,low,0.0034084328787507227,0.0027908478116181953,0.8625210322463062,0.9913349966801541
2023-11-01,low,-0.011349823885539921,-0.014203860322227525,0.8603861199763179,0.9889717299560298
2023-11-02,low,0.07525360005290305,0.07700643165499844,0.8569090239873991,0.9813861378594942
2023-11-03,low,0.005365901930503183,0.0065228816595799405,0.7907414299243088,0.9870469695811626
2023-11-06,low,-0.00045,-0.00045,0.8040241139473882,0.9612487413560495
2023-11-07,low,0.0,0.0,0.7777529492341024,0.9188351719867491
2023-11-08,low,-0.0,-0.0,0.7869313331656698,0.9124263611546026
2023-11-09,low,0.0,0.0,0.7977586239114047,0.8945565704313272
2023-11-10,low,0.0,0.0,0.812103023028507,0.8966049482958025
2023-11-13,low,0.0,0.0,0.8114991382857811,0.9147351753919852
2023-11-14,low,-0.0,-0.0,0.8032385354091254,0.9093168536505536
2023-11-15,low,-0.0,-0.0,0.8565539642324875,0.908333567037824
2023-11-16,low,0.0,0.0,0.8369882985295932,0.9107886449087154
2023-11-17,low,-0.0,-0.0,0.8267570022411663,0.9282915482334966
2023-11-20,low,0.0,0.0,0.820237694049151,0.9075174518900782
2023-11-21,low,0.0,0.0,0.8445863580988258,0.8968754669998853
2023-11-22,low,-0.0,-0.0,0.8278622857101914,0.899587245255723
2023-11-24,low,0.0,0.0,0.81288363692435,0.8931813655042881
2023-11-27,low,-0.0,-0.0,0.804231776414794,0.8836790327754473
2023-11-28,low,0.0,0.0,0.8297820065469642,0.8741887693354918
2023-11-29,low,0.0,0.0,0.8392488107509927,0.8755965122749652
2023-11-30,low,-0.0,-0.0,0.8191051631209941,0.8849042357823077
2023-12-01,low,0.0,0.0,0.824347629583962,0.8874428916089335
2023-12-04,low,-0.0,-0.0,0.8518365309021575,0.8795569614710554
2023-12-05,low,-0.0,-0.0,0.8247384146427568,0.8910253300218923
2023-12-06,low,-0.009226928519446384,-0.008588678294525693,0.8088187118172367,0.8930024960947904
2023-12-07,low,0.012332185050406603,0.012905404462737257,0.8160604783767889,0.8713212712667251
2023-12-08,low,0.033270961802819105,0.0320269290178464,0.8066368386220233,0.8682630915778234
2023-12-11,low,-0.019984627500819682,-0.015289040835524785,0.7969544256236599,0.8679104497408173
2023-12-12,low,0.00034422365588002764,0.00026501620625170915,0.8372561406222656,0.8530844697825364
2023-12-13,low,0.019049358213772637,0.01957263470722655,0.8784250346267368,0.863368017561772
2023-12-14,low,-0.008975180725324,-0.0089897377783602,0.8951745821650007,0.8998609186662786
2023-12-15,low,0.0021192505971645917,0.002995370990942641,0.8908227530404349,0.9252713625441293
2023-12-18,low,-0.012138046106112738,-0.012876912768551024,0.891449761255969,0.9361043266708852
2023-12-19,low,0.006393732045144775,0.006708026249783501,0.8986656137551099,0.9366143009997487
2023-12-20,low,-0.028077286078173842,-0.02660544337543421,0.9751591124816125,0.9301315760723103
2023-12-21,low,0.010336038537349799,0.010088699984655222,0.8958026767291505,0.9455803054545758
2023-12-22,low,0.061451495522632286,0.06124414725668084,0.8948204095231858,0.9654704496570605
2023-12-26,low,-0.00045,-0.00045,0.8675229578530305,0.923312986157282
2023-12-27,low,0.0,0.0,0.8622479904318879,0.916337872013286
2023-12-28,low,0.0,0.0,0.8978599597054963,0.8983695068552524
2023-12-29,low,-0.0,-0.0,0.8936666075109304,0.8868829627258015
2024-01-02,low,0.0,0.0,0.9285559152413455,0.924423461588659
2024-01-03,low,-0.0,-0.0,0.9924266829256686,0.9318080023759483
2024-01-04,low,0.0,0.0,1.040893413472321,0.9749057066242374
2024-01-05,low,-0.0,-0.0,1.0431442462802967,1.0265083733920597
2024-01-08,mid,-0.0,-0.0,1.04742693028001,1.0489390197937691
2024-01-09,mid,-0.019279817530904658,-0.015875202933844045,0.894345732557367,1.0868367969223265
2024-01-10,mid,-0.029613861762151306,-0.03115008631583186,0.8967408697875615,1.041974843155994
2024-01-11,mid,-0.04718613149369225,-0.04689718973654755,0.8899075850692588,0.9418873636907004
2024-01-12,mid,-0.025416678490815706,-0.023992995393903815,0.910745405819013,0.9295238761499244
2024-01-16,mid,-0.013551135838717683,-0.013530472223545783,0.9328237167704467,0.9298894296539937
2024-01-17,mid,0.04392411944988423,0.044004858514354664,0.9373257758770592,0.9457767808077704
2024-01-18,mid,0.007602725013524048,0.009595229023386317,0.936856649304763,0.9943774285104505
2024-01-19,mid,-0.019545723096369084,-0.020104876188307644,0.9306480895341759,0.9953933102134425
2024-01-22,mid,0.024008020356054337,0.027956813220536593,0.916376204517809,0.9942252924624446
2024-01-23,mid,-0.00045,-0.00045,0.8979704823124253,0.9802639888499289
2024-01-24,mid,-0.0,-0.0,0.8984518583601357,0.9614863580005844
2024-01-25,mid,0.0,0.0,0.8957057366384034,0.9492175584055912
2024-01-26,high,0.0,0.0,0.8816253898764693,0.9480446031605667
2024-01-29,high,0.0,0.0,0.9197007996650898,0.9402923893772048
2024-01-30,high,0.0,0.0,0.9261604777343664,0.9433588413551498
2024-01-31,high,-0.0,-0.0,0.9190450884374983,0.9690448449932197
2024-02-01,high,-0.0,-0.0,0.907203639842711,0.9675627800226102
2024-02-02,high,-0.0,-0.0,0.9212949739006836,0.9567099107541965
2024-02-05,high,-0.0,-0.0,0.9455400561691129,0.9523293862008568
2024-02-06,high,0.0,0.0,0.9461018946229981,0.9541281360392602
2024-02-07,mid,-0.0,-0.0,0.9530715225227863,0.9625466281708311
2024-02-08,high,0.0,0.0,0.9320126184824368,0.9789800295102653
2024-02-09,high,0.0,0.0,1.000067735507086,0.9680273645868291
2024-02-12,high,0.0,0.0,1.0644980106399797,0.9723658997443667
2024-02-13,high,-0.0,-0.0,1.1247164969825703,1.0264358256830408
2024-02-14,high,0.0,0.0,1.1338585166358006,1.0841280344060107
2024-02-15,high,-0.0,-0.0,1.2130353175293314,1.1237280379582022
2024-02-16,high,-0.0,-0.0,1.2254058746315215,1.16146721676669
2024-02-20,high,0.0,0.0,1.2299130893342118,1.2000895724893155
2024-02-21,high,-0.0,-0.0,1.2576296367940292,1.1993914379818114
2024-02-22,high,0.0,0.0,1.270599704653912,1.2022305553098631
2024-02-23,high,-0.0,-0.0,1.2430230413829146,1.2265438179224806
2024-02-26,high,0.0,0.0,1.272070860381405,1.2140371451207739
2024-02-27,high,0.0,0.0,1.3518487718335384,1.2099927255727898
2024-02-28,high,-0.0,-0.0,1.3996922480081375,1.2545828645107848
2024-02-29,high,0.0,0.0,1.3364233819781486,1.3150032310884865
2024-03-01,high,0.0,0.0,1.282498577165312,1.329629640574087
2024-03-04,high,0.0,0.0,1.2619233831580048,1.2911604217673311
2024-03-05,high,0.11498059907056703,0.12868108292557956,1.4590508144621739,1.2523572114944457
2024-03-06,high,-0.00045,-0.00045,1.6190058026794767,1.2810719899787346
2024-03-07,high,-0.02074119038553977,-0.025844626487113574,1.8481376725946772,1.4360450571883905
2024-03-08,high,-0.05869155692196563,-0.06323357682726116,1.8452007321424777,1.6240638130065985
2024-03-11,high,0.06279011132257448,0.05420205268494774,1.8562665344294587,1.7028685291453594
2024-03-12,high,-0.08938888655491956,-0.08876714264819903,1.7810815859793556,1.7113003848037807
2024-03-13,high,-0.0679967012817325,-0.06998216673498492,1.8048226332087338,1.7162427673085594
2024-03-14,high,0.008744824779691095,0.011449377742725773,1.8116866520078656,1.6945146417233905
2024-03-15,high,-0.11449633571860718,-0.10940680449990256,1.8477662866620352,1.6654241103401062
2024-03-18,high,0.10918896977789647,0.11157064075739775,1.783809293076772,1.6947090543356258
2024-03-19,high,-0.10023200029591364,-0.08568844701887665,1.8813483980017949,1.7070354289007146
2024-03-20,high,0.0826477905214883,0.07642595960865103,1.7917674175615657,1.7275752283944037
2024-03-21,high,-0.0931950095168429,-0.09704832358888149,1.6562391125469988,1.7642747535444052
2024-03-22,high,0.0061314448245076356,0.003817670613887672,1.5896846731218917,1.6781640220881315
2024-03-25,high,-0.06321413884307614,-0.06602706814589798,1.6040875206924667,1.5750578000499322
2024-03-26,high,-0.010617363136649504,-0.010662170025264827,1.667769209405012,1.5597655754678714
2024-03-27,high,-0.035246119664608916,-0.03438019757796139,1.6796438255096773,1.5658318028028748
2024-03-28,high,0.1429451113469945,0.14213833969194312,1.6763370271408526,1.6328861933336387
2024-04-01,high,0.01542214132716271,0.015092429612659233,1.6529632134918346,1.6753311986638537
2024-04-02,high,-0.06618902640848559,-0.06746951538745591,1.6637786589405656,1.6847537813498572
2024-04-03,high,-0.004154913548810984,-0.003655439641620184,1.6089196662895613,1.6701534904957132
2024-04-04,high,0.05568664013766163,0.057272026428021414,1.6046958522396566,1.6460739307599674
2024-04-05,high,0.09373482843987936,0.09344034500481799,1.5795378486491471,1.6095953958925135
2024-04-08,high,-0.00045,-0.00045,1.619556677208151,1.5977765274975204
2024-04-09,high,0.0,0.0,1.576513131714807,1.5960024129798003
2024-04-10,high,0.0,0.0,1.5670570089304727,1.6013959139260598
2024-04-11,high,0.0,0.0,1.5682453095918,1.5843224875676742
2024-04-12,high,0.0,0.0,1.5612203622964254,1.5765901692271564
2024-04-15,high,-0.0,-0.0,1.535779170624078,1.577634524170444
2024-04-16,high,-0.0,-0.0,1.5475676345688276,1.5518694297708957
