date,vol_regime,rolling_beta,ou_kappa,ou_half_life,ou_b,hedged_ret
2024-06-27,mid,1.758996614965663,0.04253117773282432,16.297389762263617,0.9583605855448689,0.0234684184683934
2024-06-28,mid,1.6118531617871183,0.03990084352676141,17.371742532085893,0.9608847123680344,-0.06335876419352074
2024-07-01,mid,1.6915403842659733,0.04794020664177795,14.45857723850309,0.9531907798513467,-0.07935561714944596
2024-07-02,mid,1.5548151092650055,0.05423580667881873,12.780250225920346,0.9472087220221691,-0.013156387379913273
2024-07-03,mid,1.6070953850789336,0.05860409301498753,11.827624060023904,0.9430800672426114,0.03435306430505452
2024-07-05,mid,1.5707508468023599,0.06287316263533066,11.024531795549303,0.9390625743579573,0.07601961540468247
2024-07-08,mid,1.444766234747681,0.056766843632162965,12.210423130998636,0.9448143331657731,0.005823264758461562
2024-07-09,mid,1.4461642479715746,0.05956829429114735,11.636176405725223,0.9421711864806648,-0.02458897889073474
2024-07-10,mid,1.4476669313980854,0.058038266649382046,11.942933870636633,0.9436138378060223,0.009690836453274846
2024-07-11,mid,1.4253496325085946,0.055101690345490846,12.579417731359449,0.9463889044453873,0.05028221411789457
2024-07-12,mid,1.4164849406339537,0.054256436218435324,12.77539088209459,0.9471891817438671,0.014419909993488543
2024-07-15,mid,1.466478723562923,0.047729799736431995,14.522314872209035,0.9533913588744053,-0.022969608910569317
2024-07-16,mid,1.2901021539322897,0.0567726645434338,12.209171194169592,0.9448088335013789,0.028391057997738552
2024-07-17,mid,1.2812525659816516,0.056718843129895925,12.220756671156336,0.9448596858167805,-0.025387201577429422
2024-07-18,mid,1.245559047400951,0.05741270377515421,12.073062841187948,0.9442043122607541,-0.019100479288558427
2024-07-19,mid,1.2320196668439263,0.060012256475930906,11.550093618591822,0.9417529909406465,0.0909203027980478
2024-07-22,mid,1.3381599692064212,0.059144066526330336,11.71964021532681,0.9425709664500662,-0.005414356568166613
2024-07-23,mid,1.3386093738248448,0.05873887187065137,11.800485070369106,0.9429529685556493,-0.010678556478768739
2024-07-24,mid,1.327308212124722,0.0621917875442448,11.145316896814117,0.9397026462448519,-0.01732102355194855
2024-07-25,mid,1.3109900852617447,0.06675936248761656,10.382771116014172,0.9354202714626907,-0.047712748003566556
2024-07-26,mid,1.3007944944017258,0.07440871593973065,9.315403065433605,0.9282922084733797,0.048813845704608505
2024-07-29,mid,1.3382252188030859,0.07541813530449601,9.190722864751388,0.9273556451141056,-0.01719608675045386
2024-07-30,mid,1.3696953477230986,0.07973090691447017,8.693582042199845,0.9233647840375159,-0.035258565772111644
2024-07-31,mid,1.3811486421631487,0.08996378764266845,7.7047354132430526,0.9139642814731278,0.03946512227264536
2024-08-01,mid,1.3347219678584499,0.0742215848706549,9.338889512638202,0.9284659370412653,-0.07881871692672454
2024-08-02,mid,1.3276268475888626,0.07941435009451248,8.728235888539263,0.9236571277264647,0.0378695324854329
2024-08-05,mid,1.2655609885855286,0.07870964311018838,8.806381952330597,0.9243082647589547,0.05698773834987522
2024-08-06,mid,1.1412766634421276,0.0769416083498928,9.008743064062957,0.9259439194213457,0.0028148731922055387
2024-08-07,high,1.13679982065199,0.07453582909647577,9.299516607815113,0.9281742178196198,-0.06893880774109908
2024-08-08,high,1.1546996202399995,0.09087649457452328,7.627353847716143,0.9131304805038039,-0.0495611290673853
