beta_window,z_entry,z_exit,z_window,vol_window,quantile_lookback,min_history,mode,oos_ratio,split_date,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd,full_return,full_sharpe,full_mdd,oos_active_ratio
120,2.25,0.5,30,40,126,126,low_only,0.8,2025-05-16,0.3419830244914863,0.7937152225384377,-0.2525030497671926,0.009257809908974624,0.1887501644245636,-0.16243183708097908,0.35440684823329893,0.6289802390328573,-0.3459820328656934,0.27358490566037735
120,1.75,1.0,30,20,252,84,low_only,0.8,2025-05-16,0.154912360627532,0.4834015704208915,-0.21283531344004092,0.008101396249588833,0.18254917866451062,-0.1505230320972606,0.164268763294525,0.3829163545981653,-0.27501668234367604,0.3018867924528302
120,1.75,1.0,30,20,252,126,low_only,0.8,2025-05-16,0.15543230516485673,0.48467712474151525,-0.21283531344004103,0.008101396249588833,0.18254917866451062,-0.1505230320972606,0.16479292010857383,0.3837867020934871,-0.27501668234367627,0.3018867924528302
90,1.75,1.0,30,20,252,84,low_only,0.8,2025-05-16,0.1860679608243836,0.5180134957215166,-0.20496452786257724,0.007678055692327934,0.1782040037829799,-0.14939491906620495,0.1951746566824799,0.4195432575025009,-0.26676323479597064,0.3018867924528302
90,1.75,1.0,30,20,252,126,low_only,0.8,2025-05-16,0.1860679608243836,0.5180134957215166,-0.20496452786257724,0.007678055692327934,0.1782040037829799,-0.14939491906620495,0.1951746566824799,0.4195432575025009,-0.26676323479597064,0.3018867924528302
60,1.75,0.5,30,40,126,84,low_only,0.8,2025-05-16,0.2181019086872118,0.45059944866985696,-0.2802498528490701,0.0055920103316906555,0.17812001916691206,-0.17954544456639532,0.2249135471456416,0.39311401391151574,-0.3938577859207014,0.38207547169811323
60,1.75,0.5,30,40,126,126,low_only,0.8,2025-05-16,0.2181019086872118,0.45059944866985696,-0.2802498528490701,0.0055920103316906555,0.17812001916691206,-0.17954544456639532,0.2249135471456416,0.39311401391151574,-0.3938577859207014,0.38207547169811323
120,2.25,1.0,30,20,126,84,low_only,0.8,2025-05-16,0.3966486610852371,1.0406862184095353,-0.17201140923282165,0.0077477232619329595,0.16720060437444684,-0.11501438516961215,0.40746950840547447,0.804934727164575,-0.17201140923282165,0.18396226415094338
120,2.25,1.0,30,20,126,126,low_only,0.8,2025-05-16,0.39727743593140774,1.0419945552825838,-0.17201140923282143,0.0077477232619329595,0.16720060437444684,-0.11501438516961215,0.4081031548251477,0.805890947934061,-0.17201140923282143,0.18396226415094338
60,2.0,0.5,30,40,252,84,low_only,0.8,2025-05-16,0.5392059154272562,1.1017445721416976,-0.1605739378431521,0.004269564475412935,0.16623581271740775,-0.17954544456639554,0.5457776543241104,0.828550500129916,-0.2453935355888639,0.37735849056603776
60,2.0,0.5,30,40,252,84,high_low_only,0.8,2025-05-16,0.22434007731320382,0.4148263855017312,-0.3606994747318898,0.004269564475412935,0.16623581271740775,-0.17954544456639554,0.22956747621312457,0.37482331064618946,-0.3606994747318898,0.37735849056603776
60,2.0,0.5,30,40,252,126,low_only,0.8,2025-05-16,0.5392059154272562,1.1017445721416976,-0.1605739378431521,0.004269564475412935,0.16623581271740775,-0.17954544456639554,0.5457776543241104,0.828550500129916,-0.2453935355888639,0.37735849056603776
