date,asset_ret,btc_ret,beta_true,hedged_true,rolling_vol,vol_regime,beta_l1,beta_diff_5,beta_mean_20,beta_std_20,time_idx,reg_high,reg_mid,reg_low,intercept,beta_pred,slope_coef_time,hedged_model
2022-06-28,-0.05393182564276189,-0.02193553187871977,1.4936152638715214,-0.02116858040756569,0.061933917359763994,unknown,1.4940225262540008,0.042139408628447894,1.5834874757387316,0.11517549155643796,0.11374407582938388,0.0,0.0,0.0,1.0,,,
2022-06-29,-0.034547585746657505,-0.008708372798288844,1.4860314060061945,-0.021606670273190236,0.062020972952006606,unknown,1.4936152638715214,0.02604725239187089,1.574725451966441,0.11561148499537889,0.11469194312796209,0.0,0.0,0.0,1.0,,,
2022-06-30,-0.08564748006327616,-0.01588223750298734,1.4822291935481506,-0.06210636397748304,0.06260797778310505,unknown,1.4860314060061945,0.025808311552637964,1.5638242814488696,0.11341031127579307,0.11563981042654028,0.0,0.0,0.0,1.0,,,
2022-07-01,0.015033459282576933,-0.02604834458398897,1.481253401352424,0.05361765829721058,0.06299776878145193,high,1.4822291935481506,0.019310455079941002,1.5530326798942506,0.1102882152321196,0.11658767772511848,1.0,0.0,0.0,1.0,,,
2022-07-05,0.12538223886382083,0.04778299348991011,1.4873155036029924,0.05431385183771667,0.06256831180029913,high,1.481253401352424,-0.006707022651008421,1.542766929062914,0.10608581317757167,0.11753554502369669,1.0,0.0,0.0,1.0,,,
2022-07-06,0.0033035100073304235,0.017737930428710857,1.4904827222888106,-0.023134568825824067,0.06213265223815595,high,1.4873155036029924,-0.0031325415827108127,1.5318113054742004,0.0990298333316158,0.11848341232227488,1.0,0.0,0.0,1.0,,,
2022-07-07,0.16574616582912483,0.053013857820514154,1.481109372444852,0.0872268441417025,0.06271748888109976,high,1.4904827222888106,-0.004922033561342465,1.5227978363912877,0.09472657596155422,0.11943127962085308,1.0,0.0,0.0,1.0,,,
2022-07-08,0.008063415974389976,0.004322538045727464,1.477325952371258,0.001677618339324653,0.06266390624929581,high,1.481109372444852,-0.004903241176892559,1.5132773937303738,0.0887745667411103,0.12037914691943127,1.0,0.0,0.0,1.0,,,
2022-07-11,-0.0921005098933797,-0.08101564828372909,1.4819977496870829,0.027964498552546985,0.056242468402473655,mid,1.477325952371258,0.000744348334658973,1.5015696002152863,0.07497920928396633,0.12132701421800948,0.0,1.0,0.0,1.0,,,
2022-07-12,-0.04171226169772446,-0.03237979740682695,1.381079466139634,0.0030068116186056024,0.056296248897387394,mid,1.4819977496870829,-0.10623603746335841,1.4847973201645503,0.060481222293717204,0.12227488151658768,0.0,1.0,0.0,1.0,,,
