date,asset_close,btc_close,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_gross,strategy_ret_net,equity_curve_gross,equity_curve_net,source,a_ret,b_ret,rolling_vol,rolling_corr,drawdown_depth,signal_density,ou_kappa,ou_half_life,ou_sigma,ou_regime,vol_regime,corr_regime,dd_regime
2026-01-12 00:00:00,159.81,91793.0,-0.0573420225184193,-0.8605107551921456,1.5146507937534484,-1,-0.0069526374193511,0.0,0.0069526374193511,0.0069526374193511,1.1494900682633815,1.141779327982883,hyperliquid_4h,0.006296832693155396,0.008747541127729574,0.010924758605966513,0.23574147525949105,0.0,3.0,,,,,high,low,calm
2026-01-12 04:00:00,159.13,91389.0,-0.0578605338678999,-0.8288519644456183,1.4833584185087345,-1,0.0022735146742789,0.0,-0.0022735146742789,-0.0022735146742789,1.1468766857252468,1.1391834759259256,hyperliquid_4h,-0.004255052875289489,-0.004401207063719492,0.01085246583034586,0.2465722330625456,-0.0022735146742788315,3.0,,,,,high,low,calm
2026-01-12 08:00:00,158.03,90588.0,-0.0573215716981208,-0.7520277803336227,1.4778892245564137,-1,0.0060407142861975,0.0,-0.0060407142861975,-0.0060407142861975,1.1399487313452794,1.1323019940282997,hyperliquid_4h,-0.0069125871928611415,-0.008764730985129532,0.010857858495781195,0.18779416210866906,-0.008300495307903444,3.0,,,,,high,low,calm
2026-01-12 12:00:00,160.02,91640.0,-0.0546122531672415,-0.5664108283797433,1.453705969580692,-1,-0.0042893666753979,0.0,0.0042893666753979,0.0042893666753979,1.144838389445174,1.1371588524679714,hyperliquid_4h,0.012592545719167347,0.011613017176667961,0.010683456182193778,0.28920574988794756,-0.004046732500468608,3.0,,,,,high,low,calm
2026-01-12 16:00:00,162.55,91808.0,-0.040480737816404,0.1746089316724875,1.4360146792269513,0,0.0131779345737785,0.0,-0.0131779345737785,-0.0131779345737785,1.1297517840515157,1.1221734475101557,hyperliquid_4h,0.01581052368453939,0.0018332605848974115,0.01078125201811555,0.28343847675398764,-0.017171339498118332,4.0,,,,,high,low,calm
2026-01-12 20:00:00,161.54,91249.0,-0.0415273706490184,0.1268103417197147,1.4584130692638315,0,0.0026665039751648,0.00045,0.0,-0.00045,1.1297517840515157,1.121668469458776,hyperliquid_4h,-0.0062134727776069765,-0.006088794004879716,0.010793984172594348,0.2992274848010908,-0.01761361239534409,4.0,,,,,high,low,calm
2026-01-13 00:00:00,161.66,91382.0,-0.0420216025926505,0.1068125401676965,1.44778955954702,0,-0.0013673759225437,0.0,-0.0,-0.0,1.1297517840515157,1.121668469458776,hyperliquid_4h,0.0007428500680946026,0.0014575502197284873,0.01078998104756321,0.2827695643251255,-0.01761361239534409,4.0,,,,,high,low,calm
2026-01-13 04:00:00,162.99,91950.0,-0.0390899365408028,0.2553185353591326,1.4568925606405496,0,-0.0008284143203305,0.0,-0.0,-0.0,1.1297517840515157,1.121668469458776,hyperliquid_4h,0.008227143387356195,0.006215666104922191,0.01078942530817975,0.29379361637016627,-0.01761361239534409,3.0,,,,,high,low,calm
2026-01-13 08:00:00,163.28,91992.0,-0.0377000539074998,0.3275290314716819,1.4540116699240655,0,0.0011151013740004,0.0,0.0,0.0,1.1297517840515157,1.121668469458776,hyperliquid_4h,0.0017792502607520966,0.0004567699836868222,0.010732595967433933,0.29792830875907955,-0.01761361239534409,2.0,,,,,high,low,calm
2026-01-13 12:00:00,168.04,93434.0,-0.0221722454282708,1.1312125825207682,1.4482640202210435,0,0.0064504378875913,0.0,0.0,0.0,1.1297517840515157,1.121668469458776,hyperliquid_4h,0.029152376286134096,0.015675276110966196,0.010653460270455896,0.42611687281013066,-0.01761361239534409,2.0,0.0212253324906018,32.65659941331231,0.008157418802414248,medium,high,low,calm
2026-01-13 16:00:00,171.83,94176.0,-0.0065856646868427,1.945679472992844,1.4899745437645775,0,0.0107216183845803,0.0,0.0,0.0,1.1297517840515157,1.121668469458776,hyperliquid_4h,0.022554153772911256,0.007941434595543306,0.010359668621588906,0.48513766007539116,-0.01761361239534409,2.0,0.022033624734943438,31.458608780818228,0.008183648730336427,medium,high,low,calm
2026-01-13 20:00:00,177.13,95374.0,0.0130586044297915,2.720272441432252,1.5246064262639747,-1,0.0114501296950023,0.0,0.0,0.0,1.1297517840515157,1.121668469458776,hyperliquid_4h,0.030844439271372703,0.012720863064899834,0.010595239570333542,0.5628667888963304,-0.01761361239534409,2.0,0.022620252585218555,30.642769259477223,0.008214630373254992,medium,high,mid,calm
2026-01-14 00:00:00,179.02,95681.0,0.020943201746407,2.785146082717119,1.588947347330333,-1,0.0055554561480223,0.00045,-0.0055554561480223,-0.0060054561480223,1.1234754975570675,1.1149323386528218,hyperliquid_4h,0.010670129283577134,0.003218906620252815,0.010648958183997621,0.5641395320016938,-0.02351329076651787,2.0,0.022859806125523602,30.321656131021488,0.008221988748697482,medium,high,mid,calm
2026-01-14 04:00:00,177.6,95183.0,0.0174107967760468,2.4229445105510576,1.576893501673762,-1,0.0002753329428083,0.0,-0.0002753329428083,-0.0002753329428083,1.123166167742152,1.1146253610509884,hyperliquid_4h,-0.007932074628533181,-0.0052047951003856285,0.01063997843584691,0.5680833053777677,-0.023782149725784296,2.0,0.023050297821275056,30.07107265747263,0.008221514038340646,medium,high,mid,calm
