date,vol_regime,zscore,beta_roll,beta_kalman_used,beta_kalman_post,beta_uncertainty,innovation_z,beta_velocity,beta_stable,pos_baseline,ret_baseline,pos_kalman,ret_kalman,pos_kalman_stable,ret_kalman_stable
2024-03-25,high,1.8018927765881083,1.3093492285910735,1.3527924031345235,1.429501810956848,0.12014105391163386,2.1914833894464807,0.0031543141207910352,0,-1,-0.09177376532811055,-1,-0.08756419747915842,0,0.0
2024-03-26,high,1.7018360702972843,1.3721171060874058,1.429501810956848,1.4295427098388769,0.11593327512739406,0.2803593530668506,0.0767094078223245,0,-1,-0.010740018739792901,-1,-0.010716211854917114,0,0.0
2024-03-27,high,1.7414469423053218,1.3666114022583997,1.4295427098388769,1.4271699361526196,0.11692901127476824,0.8720965855919965,4.089888202885028e-05,1,-1,-0.03286445837186144,-1,-0.033343261998047116,0,0.0
2024-03-28,high,0.8291589374905787,1.383430849575155,1.4271699361526196,1.4028211564884525,0.11788503623719333,3.612801719955294,0.0023727736862573234,0,0,0.13705658736612158,0,0.13786871114319577,0,-0.0
2024-04-01,high,0.6902359362122976,1.3810150300856905,1.4028211564884525,1.405530713472997,0.11867329293847054,0.4994189490033607,0.024348779664167042,0,0,-0.0,0,-0.0,0,-0.0
2024-04-02,high,1.034830445463754,1.3865942781804672,1.405530713472997,1.376489645143423,0.11952324445073424,1.2957904799449227,0.002709556984544559,0,0,0.0,0,0.0,0,0.0
2024-04-03,high,0.9910109187858783,1.3619399628452322,1.376489645143423,1.376962808821715,0.11838667744748878,0.15825183786577085,0.029041068329574093,0,0,0.0,0,0.0,0,0.0
2024-04-04,high,0.5926929264369732,1.372064425663068,1.376962808821715,1.3596749140399327,0.11932458391331753,1.2199106038916465,0.0004731636782919768,0,0,-0.0,0,-0.0,0,-0.0
2024-04-05,high,-0.07840156353300372,1.370424882597582,1.3596749140399327,1.368841827518679,0.11945466578840246,2.507488455511133,0.017287894781782276,0,0,-0.0,0,-0.0,0,-0.0
2024-04-08,high,-0.4208133899973622,1.3843262608002578,1.368841827518679,1.355323421159866,0.12036587088341771,0.6475634730961548,0.00916691347874643,1,0,-0.0,0,-0.0,0,-0.0
2024-04-09,high,-0.4019851966719574,1.3672242530467058,1.355323421159866,1.3554615432122765,0.11951583356530526,0.010685340550108,0.013518406358813184,0,0,0.0,0,-0.0,0,-0.0
2024-04-10,high,-0.11815361930553656,1.3688899217489539,1.3554615432122765,1.3674140437333584,0.11978662526261336,1.522639733069627,0.00013812205241059416,0,0,0.0,0,0.0,0,0.0
2024-04-11,high,-0.17789767090692357,1.3743678624834426,1.3674140437333584,1.3673285092752785,0.12049525323201024,0.030153780241513658,0.011952500521081877,0,0,0.0,0,0.0,0,0.0
2024-04-12,high,-0.04208229763922341,1.373277110391246,1.3673285092752785,1.3635290309471013,0.12142055173136798,0.24293320963164794,8.553445807990556e-05,1,0,0.0,0,0.0,0,0.0
2024-04-15,high,-0.13660710376797192,1.3688425807424227,1.3635290309471013,1.3748380413544776,0.1213681633811378,0.5313306610496189,0.003799478328177175,1,0,-0.0,0,-0.0,0,-0.0
2024-04-16,high,-0.8558293309801902,1.414869065268462,1.3748380413544776,1.3706351091189384,0.12045372387119237,1.8213370712733867,0.011309010407376308,0,0,-0.0,0,-0.0,0,-0.0
2024-04-17,high,-0.8680348031080369,1.4323230722585811,1.3706351091189384,1.3699096084782731,0.12139054829811503,0.04774387033203127,0.004202932235539247,1,0,0.0,0,0.0,0,0.0
2024-04-18,high,-1.3845057331725772,1.4315964626741804,1.3699096084782731,1.3579013331176828,0.12139459279950714,0.8592438200891992,0.0007255006406652331,1,0,-0.0,0,-0.0,0,-0.0
2024-04-19,high,-1.7616169083528512,1.423418730056107,1.3579013331176828,1.3560449573028497,0.12154516056295285,0.9222526738341116,0.012008275360590348,0,1,-0.00045,1,-0.00045,0,-0.0
2024-04-22,high,-1.277437927914632,1.4212706084693196,1.3560449573028497,1.3862178722729435,0.12247883524475053,1.6577527093433468,0.001856375814833111,0,1,0.061016989019932535,1,0.06407591465163033,0,0.0
2024-04-23,high,-1.0760214171066187,1.450642724915063,1.3862178722729435,1.3849063547501648,0.1220724206831261,0.5225158902096807,0.030172914970093778,0,1,0.020391268642017256,1,0.019976399972695645,0,0.0
2024-04-24,high,-1.0476704739744462,1.4489333249858611,1.3849063547501648,1.388219933419722,0.12299295281867875,0.2623759197220964,0.0013115175227786935,1,1,-0.008028098388287656,1,-0.01008211219814912,0,-0.0
2024-04-25,high,-1.2357953006728053,1.4536589207580948,1.388219933419722,1.3874117981574363,0.12328691043637606,0.6378310959066901,0.003313578669557282,1,1,-0.024589680216298395,1,-0.02438116880241572,0,-0.0
2024-04-26,high,-0.6604949497811927,1.4538726850610695,1.3874117981574363,1.3815347540867413,0.12421734041569159,1.2932421569518209,0.0008081352622857363,0,0,0.0497635190246827,0,0.04901483683579852,0,0.0
2024-04-29,high,-0.5507467310812004,1.450799440850652,1.3815347540867413,1.3816269433427306,0.1250647293352731,0.16740403157808523,0.005877044070695003,1,0,0.0,0,0.0,0,0.0
2024-04-30,high,-1.5391907411169652,1.4530733312048143,1.3816269433427306,1.4383902925636916,0.12598719748899534,2.760427065772662,9.218925598930561e-05,0,0,-0.0,0,-0.0,0,-0.0
2024-05-01,high,-1.1256360805701189,1.5004315581604935,1.4383902925636916,1.42925835018263,0.1252270633563591,0.5710886891335412,0.056763349220960935,0,0,0.0,0,0.0,0,0.0
2024-05-02,high,-0.41454260809163435,1.5040007546940262,1.42925835018263,1.4415513644486666,0.12513198974087864,2.013078086131185,0.00913194238106163,0,0,0.0,0,0.0,0,0.0
2024-05-03,high,-0.6205326861536785,1.5101265748367863,1.4415513644486666,1.4356145370780113,0.1259071692295719,0.22959876803819945,0.012293014266036684,0,0,-0.0,0,-0.0,0,-0.0
2024-05-06,high,-0.2722151085707641,1.5028975063913448,1.4356145370780113,1.4370403691823812,0.12416078593388587,0.8171447496983331,0.005936827370655262,1,0,0.0,0,0.0,0,0.0
2024-05-07,high,-0.06594585591695847,1.5092890838658986,1.4370403691823812,1.4356594890826029,0.1250789621829964,0.25786476186824236,0.0014258321043698619,1,0,0.0,0,0.0,0,0.0
2024-05-08,high,0.1587407197129945,1.4986304918863897,1.4356594890826029,1.4342545616444815,0.12588868431599845,0.18450871618941841,0.0013808800997783255,1,0,0.0,0,0.0,0,0.0
2024-05-09,high,-0.08444776502193244,1.5014769408531878,1.4342545616444815,1.4280120932460356,0.12657753385187417,0.49186361966026415,0.0014049274381213728,1,0,-0.0,0,-0.0,0,-0.0
2024-05-10,high,-0.12344284263881428,1.4916906508632921,1.4280120932460356,1.433723054859524,0.1268569649145784,0.38156494105047956,0.006242468398445888,1,0,-0.0,0,-0.0,0,-0.0
2024-05-13,high,-0.14281901355405657,1.50623588561672,1.433723054859524,1.4358879099763844,0.1268879936267431,0.14914779565476155,0.005710961613488275,1,0,0.0,0,0.0,0,0.0
2024-05-14,high,1.3057917187956671,1.501664431681235,1.4358879099763844,1.418878730038568,0.12697154512416095,1.885616374619002,0.002164855116860487,0,0,0.0,0,0.0,0,0.0
2024-05-15,high,1.9662309999853589,1.48948053277419,1.418878730038568,1.4588753785533852,0.12756290504637854,1.266015879506087,0.017009179937816477,0,-1,-0.00045,-1,-0.00045,0,0.0
2024-05-16,high,1.7306140644479011,1.5096757256015536,1.4588753785533852,1.462089586794904,0.12452348082325058,0.5075026340870037,0.03999664851481732,0,-1,0.018629338623956646,-1,0.01942346246524106,0,-0.0
2024-05-17,high,2.404143499346567,1.5840611743659254,1.462089586794904,1.4797999974706957,0.1252911657736081,1.5518134218182564,0.0032142082415187456,0,-1,-0.056159110634873326,-1,-0.05956273839199932,0,0.0
2024-05-20,high,1.7940811910656351,1.590835876404118,1.4797999974706957,1.4750983436853813,0.12569612858264995,0.1774686487753512,0.01771041067579171,0,-1,0.014219460494467151,-1,0.0069392868979600425,0,-0.0
2024-05-21,high,1.47304821242929,1.5830080198873977,1.4750983436853813,1.477881635767395,0.1238125004732816,0.3786961271641383,0.004701653785314397,1,-1,0.012519477219778714,-1,0.014500510381653883,0,-0.0
2024-05-22,high,1.6805415338914478,1.5823577122431545,1.477881635767395,1.4753877930315116,0.12452874479907818,0.42555905275848477,0.0027832920820136664,1,-1,-0.017794982203958393,-1,-0.016284226751105763,0,0.0
2024-05-23,high,1.0536114449040979,1.5924431950817814,1.4753877930315116,1.48223577932698,0.12531942196486612,0.9674007180625147,0.002493842735883378,1,-1,0.03501627986619303,-1,0.03703618518894845,0,-0.0
2024-05-24,high,2.032908462700841,1.600359251897012,1.48223577932698,1.4896923043520653,0.12604260993613955,2.0437583828275065,0.006847986295468456,0,-1,-0.07711419849766182,-1,-0.07815152691540589,0,0.0
2024-05-28,high,1.8648391121649208,1.6072363739196387,1.4896923043520653,1.4897157870750486,0.12690673386080714,0.016614278236319578,0.007456525025085314,1,-1,0.00024076642183680236,-1,0.0006350885952679589,-1,-0.00045
2024-05-29,high,1.5019568776741195,1.6155500984671942,1.4897157870750486,1.4918469175139306,0.12780928002007247,0.47454350400555007,2.348272298324794e-05,1,-1,0.016826601329100625,-1,0.01814973116736103,-1,0.01814973116736103
2024-05-30,high,0.5145424355795823,1.6193397182816083,1.4918469175139306,1.4832387667934752,0.1286348883324733,1.7089866582637268,0.002131130438882023,0,0,0.06640746594373913,0,0.06492290371137246,0,0.06492290371137246
2024-05-31,high,0.6190922493299652,1.6412803053450622,1.4832387667934752,1.482033746912839,0.1294351339210149,0.21535450937483722,0.008608150720455399,1,0,0.0,0,0.0,0,0.0
2024-06-03,high,1.018002377279119,1.6415221051135498,1.482033746912839,1.4907281592919435,0.13020766012941878,1.0095028840521163,0.001205019880636149,1,0,0.0,0,0.0,0,0.0
2024-06-04,high,0.44382758589641114,1.6444962087910038,1.4907281592919435,1.4814314393363317,0.13081188441167585,0.8135697282700374,0.0086944123791044,1,0,-0.0,0,-0.0,0,-0.0
2024-06-05,high,0.7072606167809457,1.6394229369472983,1.4814314393363317,1.483434682227949,0.13119855869321503,0.6096641346064129,0.009296719955611765,1,0,0.0,0,0.0,0,0.0
2024-06-06,high,0.43794708021338685,1.6405352729702476,1.483434682227949,1.4842907117499495,0.13203846374113073,0.40970694709895367,0.0020032428916172407,1,0,-0.0,0,-0.0,0,-0.0
2024-06-07,high,0.3455517846605684,1.6483985690521834,1.4842907117499495,1.485927110126832,0.13289725774403827,0.17757140321375073,0.0008560295220005898,1,0,-0.0,0,-0.0,0,-0.0
2024-06-10,high,0.2798489478942773,1.6524918208959976,1.485927110126832,1.4858881622207147,0.13344904451837095,0.034160570383991506,0.001636398376882564,1,0,-0.0,0,-0.0,0,-0.0
2024-06-11,high,0.658135299962223,1.6494497055314439,1.4858881622207147,1.4786816536993288,0.13431023131435016,0.4897896141499986,3.894790611735921e-05,1,0,0.0,0,0.0,0,0.0
2024-06-12,mid,0.7617430442870465,1.645019323270161,1.4786816536993288,1.4805143594498897,0.13436756487077814,0.28767467300364824,0.007206508521385935,1,0,0.0,0,0.0,0,0.0
2024-06-13,mid,-0.07609297615367708,1.64470540408447,1.4805143594498897,1.4919906841256778,0.13507755774968072,1.1082154067791796,0.0018327057505609368,0,0,-0.0,0,-0.0,0,-0.0
2024-06-14,mid,0.4423967975680142,1.6540908351902321,1.4919906841256778,1.4885545722798872,0.13553817604647328,0.6408686546205047,0.011476324675788074,1,0,0.0,0,0.0,0,0.0
2024-06-17,mid,0.28453333786337975,1.6516595827573242,1.4885545722798872,1.4882807081651368,0.1362855112571551,0.07766124907569158,0.0034361118457906237,1,0,-0.0,0,-0.0,0,-0.0
2024-06-18,mid,0.46138605542850647,1.6579449063852731,1.4882807081651368,1.4869538583893542,0.1370882774175434,0.13331030600751007,0.0002738641147503884,1,0,0.0,0,0.0,0,0.0
2024-06-20,mid,0.5477745924229886,1.6414008173111254,1.4869538583893542,1.4866820123093298,0.13757188098084935,0.11461125629825011,0.0013268497757825681,1,0,0.0,0,0.0,0,0.0
2024-06-21,mid,1.2943983249945328,1.6332903978938698,1.4866820123093298,1.482345775739694,0.13839178884173964,0.7665953081301511,0.00027184608002439603,1,0,0.0,0,0.0,0,0.0
2024-06-24,mid,1.900372767188536,1.6265690096393406,1.482345775739694,1.4724752806487842,0.13911212042097962,0.3348258785660722,0.004336236569635776,1,-1,-0.00045,-1,-0.00045,-1,-0.00045
