coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl
BCH,LONG,2025-07-01 18:00:00+00:00,2025-07-01 19:00:00+00:00,1.0,516.36,511.56,-1.47374e-05,-1.5408e-06,-0.9295840111550104,0.00015264769695561234,0.09,-1.0194313634580547
WLD,LONG,2025-07-01 18:00:00+00:00,2025-07-01 20:00:00+00:00,2.0,0.851,0.8525,-1.46965e-05,5.787e-07,0.1762632197414873,0.0005277285605170388,0.09,0.08679094830200432
AIXBT,LONG,2025-07-01 12:00:00+00:00,2025-07-01 21:00:00+00:00,9.0,0.12473,0.1217,-1.43544e-05,-1.3692e-06,-2.4292471738956074,-0.0039032688326785863,0.09,-2.523150442728286
GMT,LONG,2025-07-01 11:00:00+00:00,2025-07-01 23:00:00+00:00,12.0,0.04223,0.0412,-1.47883e-05,-2.2733e-06,-2.4390243902438935,0.03688687791617334,0.09,-2.49213751232772
BABY,LONG,2025-07-01 20:00:00+00:00,2025-07-02 01:00:00+00:00,5.0,0.0454,0.04497,-1.47314e-05,-2.882e-06,-0.9471365638766516,0.006930510825991189,0.09,-1.0302060530506605
GOAT,LONG,2025-07-02 01:00:00+00:00,2025-07-02 02:00:00+00:00,1.0,0.09181,0.09181,-1.49712e-05,-1.4392e-06,0.0,0.00014392000000000002,0.09,-0.08985607999999999
HBAR,LONG,2025-07-02 00:00:00+00:00,2025-07-02 02:00:00+00:00,2.0,0.14378,0.14465,-1.49597e-05,-1.0069e-06,0.6050911114202321,-0.00025334338920573096,0.09,0.5148377680310264
ETH,LONG,2025-07-01 22:00:00+00:00,2025-07-02 03:00:00+00:00,5.0,2399.65,2429.23,-1.4544e-05,-1.6256e-06,1.2326797657991762,0.005303292455108037,0.09,1.147983058254284
NEO,LONG,2025-07-01 20:00:00+00:00,2025-07-02 04:00:00+00:00,8.0,5.245,5.338,-1.43178e-05,-8.12e-07,1.7731172545281215,0.0030068905128694005,0.09,1.686124145040991
ALGO,LONG,2025-07-02 06:00:00+00:00,2025-07-02 07:00:00+00:00,1.0,0.1758,0.1747,-1.41319e-05,-2.4892e-06,-0.6257110352673593,0.00024736248009101246,0.09,-0.7154636727872682
CFX,LONG,2025-07-01 18:00:00+00:00,2025-07-02 07:00:00+00:00,13.0,0.07335,0.07424,-1.4957e-05,-2.9893e-06,1.21336059986367,0.02073938661077028,0.09,1.1440999864744403
DOT,LONG,2025-07-01 09:00:00+00:00,2025-07-02 07:00:00+00:00,22.0,3.335,3.311,-1.40998e-05,-1.6014e-06,-0.7196401799100457,0.04695827512743628,0.09,-0.7626819047826093
FET,LONG,2025-07-01 11:00:00+00:00,2025-07-02 07:00:00+00:00,20.0,0.6616,0.6895,-1.46945e-05,1.707e-06,4.217049576783561,0.08218129988059253,0.09,4.2092308766641535
JUP,LONG,2025-07-02 02:00:00+00:00,2025-07-02 07:00:00+00:00,5.0,0.4276,0.4309,-1.45079e-05,8.069e-07,0.7717492984097346,0.006295736463985033,0.09,0.6880450348737197
VVV,LONG,2025-06-26 13:00:00+00:00,2025-07-02 07:00:00+00:00,138.0,2.657,2.808,-1.43765e-05,5.369e-07,5.68310124200225,0.5431828693827626,0.09,6.136284111385013
GMX,LONG,2025-07-01 19:00:00+00:00,2025-07-02 08:00:00+00:00,13.0,13.147,13.745,-1.44146e-05,-7.174e-07,4.548566212824211,0.05005264423822926,0.09,4.50861885706244
SAND,LONG,2025-07-02 01:00:00+00:00,2025-07-02 10:00:00+00:00,9.0,0.23136,0.23852,-1.40275e-05,-2.5487e-06,3.0947441217150757,0.02358706315914592,0.09,3.028331184874222
ARB,SHORT,2025-06-29 22:00:00+00:00,2025-07-02 11:00:00+00:00,61.0,0.3801,0.3389,1.4879e-05,9.143e-07,10.839252828203108,0.07090124022362539,0.09,10.820154068426733
BIO,LONG,2025-07-02 03:00:00+00:00,2025-07-02 11:00:00+00:00,8.0,0.04941,0.0515,-1.47878e-05,-2.8397e-06,4.229912973082361,0.02179455369156041,0.09,4.161707526773921
XAI,LONG,2025-07-01 15:00:00+00:00,2025-07-02 11:00:00+00:00,20.0,0.04938,0.04952,-1.49744e-05,-2.0697e-06,0.2835155933576372,0.07044378499594979,0.09,0.26395937835358696
ETC,LONG,2025-07-02 02:00:00+00:00,2025-07-02 12:00:00+00:00,10.0,15.973,16.228,-1.41061e-05,1.951e-07,1.5964439992487371,0.00957541455268265,0.09,1.5160194138014198
SEI,LONG,2025-07-02 12:00:00+00:00,2025-07-02 16:00:00+00:00,4.0,0.2736,0.285,-1.45243e-05,1.5587e-06,4.166666666666654,0.006291273713450294,0.09,4.082957940380104
PUMP,SHORT,2025-07-13 12:00:00+00:00,2025-07-14 13:00:00+00:00,25.0,0.006449,0.006007,1.43315e-05,-2.1889e-06,6.853775779190567,-0.1302450137509691,0.09,6.633530765439598
TURBO,LONG,2025-07-01 08:00:00+00:00,2025-09-03 12:00:00+00:00,1540.0,0.0034966,0.003798,-1.4132e-05,-3.627e-07,8.619802093462228,0.05875276807841903,0.09,8.588554861540647
UMA,LONG,2025-06-29 16:00:00+00:00,2025-09-03 12:00:00+00:00,1580.0,1.125,1.3584,-1.47646e-05,-2.5754e-06,20.746666666666673,-0.09377319618133331,0.09,20.56289347048534
IP,LONG,2025-09-03 20:00:00+00:00,2025-09-03 23:00:00+00:00,3.0,8.3072,8.0932,-1.45041e-05,1.835e-07,-2.5760785824345196,0.004137853994968221,0.09,-2.6619407284395513
SEI,LONG,2025-07-02 23:00:00+00:00,2025-09-04 07:00:00+00:00,1520.0,0.2821,0.28381,-1.46549e-05,1.6419e-06,0.6061680255228604,-0.022806401450903933,0.09,0.4933616240719565
WLFI,SHORT,2025-09-02 05:00:00+00:00,2025-09-04 12:00:00+00:00,55.0,0.24149,0.17693,1.43674e-05,-1.3693e-06,26.734026253675104,0.07289296008240505,0.09,26.71691921375751
TRX,LONG,2025-09-04 07:00:00+00:00,2025-09-04 13:00:00+00:00,6.0,0.33773,0.33799,-1.41435e-05,1.5056e-06,0.07698457347586474,0.0001238451704023926,0.09,-0.012891581353732862
ARK,LONG,2025-07-01 21:00:00+00:00,2025-09-04 19:00:00+00:00,1558.0,0.3428,0.41802,-1.46281e-05,-3.968e-07,21.942823803967332,0.1818081358054259,0.09,22.03463193977276
DYM,LONG,2025-07-01 15:00:00+00:00,2025-09-04 21:00:00+00:00,1566.0,0.223,0.20242,-1.47791e-05,-2.9536e-06,-9.228699551569514,0.03205027021479823,0.09,-9.286649281354716
VIRTUAL,LONG,2025-09-05 02:00:00+00:00,2025-09-05 04:00:00+00:00,2.0,1.0747,1.0858,-1.4762e-05,-1.6726e-06,1.0328463757327728,0.0018362528221829348,0.09,0.9446826285549558
BOME,LONG,2025-07-02 13:00:00+00:00,2025-09-05 06:00:00+00:00,1553.0,0.00152,0.001883,-1.48317e-05,2.9652e-06,23.88157894736841,-0.07080661008552631,0.09,23.720772337282884
ATOM,LONG,2025-09-05 01:00:00+00:00,2025-09-05 07:00:00+00:00,6.0,4.3792,4.4599,-1.42742e-05,-1.0685e-06,1.8428023383266399,0.006259154804073804,0.09,1.7590614931307136
YZY,SHORT,2025-08-29 00:00:00+00:00,2025-09-05 19:00:00+00:00,187.0,0.5336,0.48766,1.46379e-05,-2.9924e-06,8.609445277361317,-2.42992705811563,0.09,6.089518219245687
TURBO,LONG,2025-09-05 23:00:00+00:00,2025-09-06 00:00:00+00:00,1.0,0.003928,0.003995,-1.40681e-05,1.796e-07,1.7057026476578467,-1.8266344195519347e-05,0.09,1.6156843813136512
IP,LONG,2025-09-05 01:00:00+00:00,2025-09-06 03:00:00+00:00,26.0,7.8894,8.251,-1.4477e-05,1.6082e-06,4.583365021421138,-0.0038244667508302277,0.09,4.489540554670309
MOVE,LONG,2025-09-05 14:00:00+00:00,2025-09-06 03:00:00+00:00,13.0,0.11464,0.11636,-1.48445e-05,-2.8887e-06,1.5003489183531047,0.055132113258897414,0.09,1.465481031612002
USUAL,LONG,2025-09-05 18:00:00+00:00,2025-09-06 14:00:00+00:00,20.0,0.05997,0.05987,-1.4139e-05,-5.798e-07,-0.1667500416875152,-0.022233696208104052,0.09,-0.27898373789561925
MERL,LONG,2025-09-06 16:00:00+00:00,2025-09-06 17:00:00+00:00,1.0,0.15595,0.1544,-1.49665e-05,2.826e-07,-0.9939083039435689,-2.7979121513305546e-05,0.09,-1.0839362830650823
MEW,LONG,2025-07-02 03:00:00+00:00,2025-09-06 17:00:00+00:00,1598.0,0.002465,0.002685,-1.47866e-05,2.9982e-06,8.92494929006084,-0.024139089784989878,0.09,8.81081020027585
RUNE,LONG,2025-07-01 12:00:00+00:00,2025-09-07 02:00:00+00:00,1622.0,1.302,1.2078,-1.46546e-05,-1.3047e-06,-7.235023041474658,-0.09699775586482334,0.09,-7.422020797339481
UMA,LONG,2025-09-06 13:00:00+00:00,2025-09-07 07:00:00+00:00,18.0,1.3074,1.358,-1.41113e-05,2.5997e-06,3.870276885421463,0.001512440347254094,0.09,3.781789325768717
KAITO,LONG,2025-09-06 15:00:00+00:00,2025-09-07 20:00:00+00:00,29.0,0.96031,0.99031,-1.40322e-05,2.6103e-06,3.123991211171395,-0.014021623949870356,0.09,3.019969587221525
PROVE,LONG,2025-09-07 20:00:00+00:00,2025-09-07 21:00:00+00:00,1.0,0.88473,0.88148,-1.44554e-05,-5.996e-07,-0.3673437093802601,5.9739740711855606e-05,0.09,-0.4572839696395483
UMA,LONG,2025-09-07 12:00:00+00:00,2025-09-08 20:00:00+00:00,32.0,1.3558,1.3541,-1.43924e-05,7.5e-09,-0.1253872252544485,0.0334903452551999,0.09,-0.1818968799992486
IP,SHORT,2025-09-08 08:00:00+00:00,2025-09-09 16:00:00+00:00,32.0,8.5242,11.143,1.42247e-05,1.9912e-06,-30.721944581309685,0.17470916224455083,0.09,-30.637235419065135
PROVE,LONG,2025-09-08 21:00:00+00:00,2025-09-09 19:00:00+00:00,22.0,0.89495,0.87433,-1.41667e-05,-2.3351e-06,-2.304039331806243,-0.00667182069758087,0.09,-2.4007111525038236
XPL,LONG,2025-09-02 21:00:00+00:00,2025-09-09 19:00:00+00:00,166.0,0.66126,0.75808,-1.45824e-05,7.013e-07,14.641744548286608,-0.23009196004446053,0.09,14.321652588242149
PAXG,SHORT,2025-09-08 22:00:00+00:00,2025-09-09 21:00:00+00:00,23.0,3637.1,3632.2,1.47943e-05,-1.0833e-06,0.134722718649476,0.02753110961315334,0.09,0.07225382826262933
BERA,LONG,2025-09-10 18:00:00+00:00,2025-09-11 00:00:00+00:00,6.0,2.3887,2.3983,-1.47502e-05,-2.8425e-06,0.4018922426424344,0.0213628837103864,0.09,0.33325512635282084
ENA,SHORT,2025-09-07 06:00:00+00:00,2025-09-11 00:00:00+00:00,90.0,0.73587,0.78188,1.42658e-05,-2.0056e-06,-6.252463070922852,0.1348765542502072,0.09,-6.207586516672645
MAV,LONG,2025-09-10 15:00:00+00:00,2025-09-11 02:00:00+00:00,11.0,0.068303,0.064232,-1.49617e-05,4.981e-07,-5.960206725912485,0.08662529724477694,0.09,-5.963581428667708
ZORA,SHORT,2025-09-06 12:00:00+00:00,2025-09-11 16:00:00+00:00,124.0,0.070773,0.060998,1.45948e-05,8.512e-07,13.81176437341925,-0.24597667815720675,0.09,13.475787695262042
HYPE,LONG,2025-09-11 19:00:00+00:00,2025-09-12 04:00:00+00:00,9.0,55.71,56.73,-1.41435e-05,-2.7305e-06,1.8309100700053778,0.008690367356309459,0.09,1.7496004373616871
DOOD,SHORT,2025-05-28 02:00:00+00:00,2025-09-12 06:00:00+00:00,2572.0,0.003736,0.003606,1.48883e-05,-5.03e-08,3.4796573875803087,0.7373026502810494,0.09,4.126960037861358
NXPC,LONG,2025-09-12 05:00:00+00:00,2025-09-12 10:00:00+00:00,5.0,0.6874,0.67788,-1.44633e-05,7.126e-07,-1.384928716904273,-0.0029219170125109107,0.09,-1.477850633916784
SOL,SHORT,2025-09-09 06:00:00+00:00,2025-09-12 17:00:00+00:00,83.0,218.59,240.16,1.4921e-05,1.9429e-06,-9.867789011391185,0.1250012314900041,0.09,-9.832787779901182
IOTA,LONG,2025-09-11 16:00:00+00:00,2025-09-13 03:00:00+00:00,35.0,0.1932,0.20008,-1.44936e-05,1.1386e-06,3.561076604554864,0.003092246350414074,0.09,3.474168850905278
NXPC,LONG,2025-09-13 02:00:00+00:00,2025-09-13 03:00:00+00:00,1.0,0.74946,0.75117,-1.4137e-05,2.9761e-06,0.22816427828036046,-0.0002982890397085902,0.09,0.13786598924065188
PYTH,LONG,2025-09-13 09:00:00+00:00,2025-09-13 11:00:00+00:00,2.0,0.17815,0.1794,-1.43075e-05,-1.0045e-06,0.7016559079427455,0.0006925572865562729,0.09,0.6123484652293018
BERA,LONG,2025-09-12 07:00:00+00:00,2025-09-13 14:00:00+00:00,31.0,2.3181,2.4361,-1.40549e-05,1.5803e-06,5.090375738751578,0.07891940437772316,0.09,5.079295143129301
ZORA,SHORT,2025-09-13 12:00:00+00:00,2025-09-13 19:00:00+00:00,7.0,0.063548,0.061953,1.49013e-05,-5.186e-07,2.5099137659721666,0.014764075974696292,0.09,2.434677841946863
NXPC,LONG,2025-09-13 20:00:00+00:00,2025-09-14 12:00:00+00:00,16.0,0.7469,0.71541,-1.44212e-05,-1.7151e-06,-4.216093185165352,-0.012010125186236446,0.09,-4.318103310351589
BCH,LONG,2025-07-02 17:00:00+00:00,2025-09-14 15:00:00+00:00,1774.0,506.02,592.37,-1.4127e-05,6.924e-07,17.064542903442558,-0.5604478589915417,0.09,16.414095044451017
PYTH,LONG,2025-09-15 01:00:00+00:00,2025-09-15 02:00:00+00:00,1.0,0.16688,0.16711,-1.47688e-05,-1.211e-06,0.13782358581016776,0.00012126690436241612,0.09,0.047944852714530195
BCH,LONG,2025-09-15 00:00:00+00:00,2025-09-15 14:00:00+00:00,14.0,601.05,591.38,-1.49972e-05,-1.1297e-06,-1.608851177106723,0.027967780614092004,0.09,-1.670883396492631
TRUMP,SHORT,2025-09-10 15:00:00+00:00,2025-09-15 14:00:00+00:00,119.0,8.8486,8.4741,1.46127e-05,2.6081e-06,4.232307935718638,0.22133314439120302,0.09,4.363641080109842
STRK,LONG,2025-09-07 12:00:00+00:00,2025-09-15 19:00:00+00:00,199.0,0.124,0.13005,-1.47077e-05,-1.3433e-06,4.879032258064516,-0.240884013503226,0.09,4.54814824456129
GMT,SHORT,2025-09-13 11:00:00+00:00,2025-09-15 20:00:00+00:00,57.0,0.045955,0.04168,1.48246e-05,2.912e-06,9.302578609509304,0.06755934149124142,0.09,9.280137951000546
ME,LONG,2025-09-16 01:00:00+00:00,2025-09-16 06:00:00+00:00,5.0,0.67361,0.67157,-1.49688e-05,2.9328e-06,-0.30284586036431194,0.002818070728463057,0.09,-0.39002778963584883
MEME,LONG,2025-09-06 00:00:00+00:00,2025-09-16 06:00:00+00:00,246.0,0.002481,0.002669,-1.42723e-05,-2.522e-07,7.577589681579999,-0.29741654866586054,0.09,7.190173132914139
IOTA,LONG,2025-09-16 03:00:00+00:00,2025-09-16 16:00:00+00:00,13.0,0.18595,0.18764,-1.42917e-05,6.017e-07,0.908846464103252,-0.0007807426663081473,0.09,0.8180657214369439
KAITO,LONG,2025-09-16 20:00:00+00:00,2025-09-16 21:00:00+00:00,1.0,1.1092,1.1115,-1.49265e-05,1.7082e-06,0.20735665344392076,-0.00017117420663541292,0.09,0.11718547923728537
kLUNC,LONG,2025-09-16 10:00:00+00:00,2025-09-17 08:00:00+00:00,22.0,0.059131,0.05965,-1.40568e-05,1.8487e-06,0.8777121983392783,0.03421243231164702,0.09,0.8219246306509254
kBONK,SHORT,2025-09-14 14:00:00+00:00,2025-09-17 09:00:00+00:00,67.0,0.024524,0.023516,1.44156e-05,6.024e-07,4.110259337791558,0.08104980602022509,0.09,4.1013091438117835
HYPE,LONG,2025-09-15 07:00:00+00:00,2025-09-17 10:00:00+00:00,51.0,53.209,55.011,-1.4956e-05,-1.06e-06,3.3866451164276707,-0.062447894495855964,0.09,3.234197221931815
ARB,SHORT,2025-09-05 17:00:00+00:00,2025-09-17 11:00:00+00:00,282.0,0.48896,0.48993,1.48102e-05,-9.718e-07,-0.19838023560208828,0.6218098593649787,0.09,0.3334296237628904
SUPER,LONG,2025-09-14 08:00:00+00:00,2025-09-17 18:00:00+00:00,82.0,0.61547,0.57254,-1.47392e-05,-1.6509e-06,-6.975157196938911,-0.09074067458332652,0.09,-7.155897871522237
