coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl,year
YGG,LONG,2025-03-28 15:00:00,2025-03-28 18:00:00,3.0,0.1939,0.1929,-1.40769e-05,-1.8932e-06,-0.5157297576070143,0.00203776,0.09,-0.6036919976070143,2025
POLYX,LONG,2025-03-27 19:00:00,2025-03-28 19:00:00,24.0,0.14732,0.1362,-1.47352e-05,1.0859e-06,-7.5481944067336535,0.037181900000000004,0.09,-7.601012506733653,2025
TRB,LONG,2025-03-28 10:00:00,2025-03-28 20:00:00,10.0,28.196,27.735,-1.42285e-05,2.9994e-06,-1.6349836856291746,0.017376259999999998,0.09,-1.7076074256291747,2025
ZRO,LONG,2025-03-28 17:00:00,2025-03-28 20:00:00,3.0,2.866,2.8553,-1.49807e-05,-1.2863e-06,-0.37334263782274707,0.00279472,0.09,-0.46054791782274707,2025
SUSHI,LONG,2025-03-27 18:00:00,2025-03-28 21:00:00,27.0,0.68,0.6209,-1.43122e-05,1.3283e-06,-8.69117647058824,0.06307263,0.09,-8.71810384058824,2025
PENGU,LONG,2025-03-28 19:00:00,2025-03-28 22:00:00,3.0,0.006135,0.006254,-1.49813e-05,-2.238e-06,1.9396903015484954,0.00261618,0.09,1.8523064815484953,2025
ETHFI,LONG,2025-03-28 21:00:00,2025-03-28 22:00:00,1.0,0.6102,0.6201,-1.48244e-05,-9.137e-07,1.6224188790560508,0.0,0.09,1.5324188790560507,2025
NEIROETH,LONG,2025-03-27 11:00:00,2025-03-28 23:00:00,36.0,0.02632,0.02688,-1.47056e-05,1.8927e-06,2.1276595744680904,0.07715674000000002,0.09,2.1148163144680905,2025
ZETA,LONG,2025-03-28 15:00:00,2025-03-29 00:00:00,9.0,0.3324,0.3123,-1.44552e-05,-1.255e-07,-6.046931407942225,0.01826778,0.09,-6.118663627942224,2025
MAVIA,LONG,2025-03-27 18:00:00,2025-03-29 01:00:00,31.0,0.4392,0.435,-1.40852e-05,3.129e-07,-0.9562841530054603,0.7667502199999999,0.09,-0.27953393300546037,2025
APE,LONG,2025-03-28 09:00:00,2025-03-29 01:00:00,16.0,0.5035,0.5007,-1.40651e-05,-2.1076e-06,-0.5561072492551964,0.029070600000000002,0.09,-0.6170366492551963,2025
W,LONG,2025-03-28 18:00:00,2025-03-29 01:00:00,7.0,0.0903,0.09353,-1.4513e-05,1.6455e-06,3.576965669988922,0.01026597,0.09,3.497231639988922,2025
STX,LONG,2025-03-28 22:00:00,2025-03-29 01:00:00,3.0,0.6615,0.6523,-1.46023e-05,-2.2166e-06,-1.3907785336356744,0.0017786500000000001,0.09,-1.4789998836356744,2025
ENS,LONG,2025-03-28 10:00:00,2025-03-29 02:00:00,16.0,16.785,16.467,-1.48385e-05,1.7778e-06,-1.8945487042001872,0.019623730000000002,0.09,-1.9649249742001873,2025
S,LONG,2025-03-29 01:00:00,2025-03-29 07:00:00,6.0,0.5416,0.5051,-1.48784e-05,-1.9165e-06,-6.739290989660263,0.0038795699999999997,0.09,-6.825411419660263,2025
ZRO,LONG,2025-03-28 22:00:00,2025-03-29 08:00:00,10.0,2.8695,2.6749,-1.45312e-05,1.9646e-06,-6.781669280362429,0.01120921,0.09,-6.860460070362429,2025
YGG,LONG,2025-03-28 23:00:00,2025-03-29 08:00:00,9.0,0.2012,0.1928,-1.40568e-05,2.7181e-06,-4.174950298210732,0.00976679,0.09,-4.255183508210732,2025
BCH,LONG,2025-03-29 06:00:00,2025-03-29 08:00:00,2.0,306.56,307.94,-1.47828e-05,-1.5326e-06,0.45015657620041605,0.00080495,0.09,0.3609615262004161,2025
HBAR,LONG,2025-03-29 07:00:00,2025-03-29 08:00:00,1.0,0.17468,0.17517,-1.47815e-05,1.7837e-06,0.28051293794366294,0.0,0.09,0.19051293794366295,2025
USTC,LONG,2025-03-26 10:00:00,2025-03-29 13:00:00,75.0,0.01363,0.011571,-1.46903e-05,-2.682e-07,-15.106382978723405,0.13883850000000003,0.09,-15.057544478723404,2025
OM,LONG,2025-03-28 13:00:00,2025-03-29 14:00:00,25.0,6.31541,6.26757,-1.42488e-05,2.3379e-06,-0.7575121805235113,0.12590738,0.09,-0.7216048005235113,2025
EIGEN,LONG,2025-03-29 01:00:00,2025-03-29 14:00:00,13.0,1.0294,0.9302,-1.47533e-05,-6.42e-08,-9.636681562075001,0.024294400000000004,0.09,-9.702387162075,2025
COMP,LONG,2025-03-28 22:00:00,2025-03-29 17:00:00,19.0,40.88,38.79,-1.47992e-05,-1.9683e-06,-5.112524461839539,0.05662492,0.09,-5.145899541839539,2025
W,LONG,2025-03-29 14:00:00,2025-03-29 17:00:00,3.0,0.08642,0.08471,-1.40059e-05,7.437e-07,-1.9787086322610545,0.00188929,0.09,-2.0668193422610543,2025
TURBO,LONG,2025-03-29 16:00:00,2025-03-29 18:00:00,2.0,0.0019429,0.0019544,-1.41421e-05,1.5377e-06,0.5918987081167221,0.00055515,0.09,0.502453858116722,2025
LINK,LONG,2025-03-29 19:00:00,2025-03-29 20:00:00,1.0,13.577,13.424,-1.44617e-05,-8.086e-07,-1.1269057965677283,0.0,0.09,-1.2169057965677283,2025
BSV,LONG,2025-03-29 19:00:00,2025-03-29 20:00:00,1.0,31.47,31.17,-1.41e-05,-2.389e-06,-0.9532888465204867,0.0,0.09,-1.0432888465204868,2025
FXS,LONG,2025-03-29 15:00:00,2025-03-29 21:00:00,6.0,2.0096,1.996,-1.42081e-05,-8.64e-08,-0.6767515923566797,0.005733950000000001,0.09,-0.7610176423566797,2025
