hour_idx,hour,n_alpha,n_alpha_long,n_alpha_short,n_hedge,n_hedge_long,n_hedge_short,n_total,funding_paid,funding_received,net_funding,alpha_price_pnl,hedge_price_pnl,fees,positions_opened,positions_closed,hourly_pnl,cumulative_pnl
12388,2024-12-20 03:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12389,2024-12-20 04:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12390,2024-12-20 05:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12391,2024-12-20 06:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12392,2024-12-20 07:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12393,2024-12-20 08:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12394,2024-12-20 09:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12395,2024-12-20 10:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12396,2024-12-20 11:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12397,2024-12-20 12:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12398,2024-12-20 13:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12399,2024-12-20 14:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12400,2024-12-20 15:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12401,2024-12-20 16:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12402,2024-12-20 17:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12403,2024-12-20 18:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12404,2024-12-20 19:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12405,2024-12-20 20:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12406,2024-12-20 21:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
