date,equity_usd,cash_usd,option_mtm_usd,hedge_units,spot_close,active_cycles
2024-05-31,0.0,0.0,0.0,-0.0,67594.0,0
2024-06-01,0.0,0.0,0.0,-0.0,67693.5,0
2024-06-02,0.0,0.0,0.0,-0.0,68904.0,0
2024-06-03,0.0,0.0,0.0,-0.0,69002.0,0
2024-06-04,0.0,0.0,0.0,-0.0,71225.0,0
2024-06-05,0.0,0.0,0.0,-0.0,71051.0,0
2024-06-06,0.0,0.0,0.0,-0.0,71090.5,0
2024-06-07,0.0,0.0,0.0,-0.0,69543.5,0
2024-06-08,0.0,0.0,0.0,-0.0,69285.0,0
2024-06-09,0.0,0.0,0.0,-0.0,69281.5,0
2024-06-10,0.0,0.0,0.0,-0.0,67519.5,0
2024-06-11,0.0,0.0,0.0,-0.0,67454.5,0
2024-06-12,0.0,0.0,0.0,-0.0,67694.5,0
2024-06-13,0.0,0.0,0.0,-0.0,66887.0,0
2024-06-14,0.0,0.0,0.0,-0.0,66012.0,0
2024-06-15,0.0,0.0,0.0,-0.0,66203.5,0
2024-06-16,0.0,0.0,0.0,-0.0,66146.0,0
2024-06-17,0.0,0.0,0.0,-0.0,65651.0,0
2024-06-18,0.0,0.0,0.0,-0.0,65317.0,0
2024-06-19,0.0,0.0,0.0,-0.0,65861.0,0
2024-06-20,0.0,0.0,0.0,-0.0,64151.5,0
2024-06-21,0.0,0.0,0.0,-0.0,64464.0,0
2024-06-22,0.0,0.0,0.0,-0.0,64391.5,0
2024-06-23,0.0,0.0,0.0,-0.0,62410.5,0
2024-06-24,0.0,0.0,0.0,-0.0,60653.5,0
2024-06-25,0.0,0.0,0.0,-0.0,61739.0,0
2024-06-26,0.0,0.0,0.0,-0.0,60755.0,0
2024-06-27,0.0,0.0,0.0,-0.0,61265.0,0
2024-06-28,0.0,0.0,0.0,-0.0,60990.0,0
2024-06-29,0.0,0.0,0.0,-0.0,61434.5,0
