fr_threshold,min_consecutive,exit_strategy,exit_param,config,n_trades,avg_pnl,std_pnl,sharpe,win_rate,total_pnl,avg_hold,max_dd
0.002,2,fixed,48,FR>0.2%_Cons>=2_Fixed48h,247,0.007019134911152502,0.10376563144468445,0.06764412082717652,0.5668016194331984,1.733726323054668,48.0,2.536602135213192
0.002,2,normalized,0.0001,FR>0.2%_Cons>=2_Norm<0.01%,139,0.061644520823484754,0.07969578969292965,0.7734978354691384,0.7913669064748201,8.568588394464381,37.53237410071942,0.15880072096205478
0.002,2,normalized,0.0003,FR>0.2%_Cons>=2_Norm<0.03%,216,0.0445033126089167,0.07845231383874843,0.5672657749826117,0.7870370370370371,9.612715523526006,32.032407407407405,1.2205775403103036
0.002,2,normalized,0.0005,FR>0.2%_Cons>=2_Norm<0.05%,247,0.03584500526341512,0.07577788899211033,0.47302723446343503,0.7611336032388664,8.853716300063535,25.765182186234817,1.1222782606987423
0.002,2,fixed_or_normalized,"(24, 0.0003)",FR>0.2%_Cons>=2_Max24h_OR_Norm<0.03%,254,0.03118980619653271,0.07917719550265823,0.39392410906351905,0.7637795275590551,7.922210773919309,20.79527559055118,1.2989358074264883
0.002,2,fixed_or_normalized,"(48, 0.0003)",FR>0.2%_Cons>=2_Max48h_OR_Norm<0.03%,254,0.019716138828902174,0.0977785207132606,0.20164079682408506,0.6732283464566929,5.0078992625411525,32.51574803149607,2.4065955645349444
0.002,3,fixed,4,FR>0.2%_Cons>=3_Fixed4h,180,0.014660906184067441,0.06342243904577846,0.2311627620231566,0.5888888888888889,2.6389631131321396,4.0,0.6801381697607836
0.002,3,fixed,8,FR>0.2%_Cons>=3_Fixed8h,180,0.020263770720852774,0.08754844602989038,0.2314578001068621,0.6277777777777778,3.647478729753499,8.0,1.0453592081049832
0.002,3,fixed,12,FR>0.2%_Cons>=3_Fixed12h,180,0.020580026078604395,0.09554268741124043,0.21540137331518258,0.6722222222222223,3.704404694148791,12.0,1.9799143317448595
0.002,3,fixed,24,FR>0.2%_Cons>=3_Fixed24h,180,0.03383684941742135,0.07833652751740063,0.4319421665698072,0.7555555555555555,6.090632895135843,24.0,1.138065992953539
0.002,3,fixed,36,FR>0.2%_Cons>=3_Fixed36h,177,0.03179503057435892,0.08679505246217924,0.36632307571003014,0.7457627118644068,5.627720411661529,36.0,1.3369852286697723
0.002,3,fixed,48,FR>0.2%_Cons>=3_Fixed48h,176,0.010574262442833039,0.09720700563135187,0.10878086794417782,0.5852272727272727,1.8610701899386148,48.0,1.4524914008463505
0.002,3,normalized,0.0001,FR>0.2%_Cons>=3_Norm<0.01%,96,0.06933709374471055,0.07888468351352781,0.8789677622630004,0.8229166666666666,6.656360999492213,39.71875,0.15235963464002067
0.002,3,normalized,0.0003,FR>0.2%_Cons>=3_Norm<0.03%,154,0.046612524509731273,0.08206667754842083,0.5679835702161701,0.8051948051948052,7.178328774498616,33.967532467532465,1.1220788069316638
0.002,3,normalized,0.0005,FR>0.2%_Cons>=3_Norm<0.05%,177,0.0406484494307044,0.0759242505584967,0.5353816354023322,0.7853107344632768,7.194775549234679,27.25423728813559,0.7172195084509445
0.002,3,fixed_or_normalized,"(24, 0.0003)",FR>0.2%_Cons>=3_Max24h_OR_Norm<0.03%,180,0.03485778138704751,0.07771073128592101,0.448558143904158,0.7944444444444444,6.274400649668552,21.427777777777777,1.15324530772616
0.002,3,fixed_or_normalized,"(48, 0.0003)",FR>0.2%_Cons>=3_Max48h_OR_Norm<0.03%,180,0.02442784374417983,0.09558108311315396,0.2555719494751995,0.7055555555555556,4.397011873952369,33.87777777777778,1.1278348989069027
0.002,4,fixed,4,FR>0.2%_Cons>=4_Fixed4h,133,0.01533719135511257,0.06511034632457008,0.23555690026064136,0.5639097744360902,2.039846450229972,4.0,0.3411608346349276
0.002,4,fixed,8,FR>0.2%_Cons>=4_Fixed8h,133,0.018841953991665255,0.09594042412560647,0.19639223156859428,0.5939849624060151,2.505979880891479,8.0,1.0168636080810758
0.002,4,fixed,12,FR>0.2%_Cons>=4_Fixed12h,133,0.017884313655531302,0.1035712129457962,0.17267649134215532,0.6616541353383458,2.3786137161856633,12.0,1.9151798705240002
0.002,4,fixed,24,FR>0.2%_Cons>=4_Fixed24h,133,0.03533499288394059,0.08047705773561678,0.43906914440166417,0.7819548872180451,4.699554053564098,24.0,0.964774887650924
0.002,4,fixed,36,FR>0.2%_Cons>=4_Fixed36h,131,0.030313973995720674,0.08768946550879798,0.34569687270678184,0.7633587786259542,3.9711305934394083,36.0,1.175637806996326
0.002,4,fixed,48,FR>0.2%_Cons>=4_Fixed48h,131,0.009373028755629701,0.09290786360940677,0.10088520380831034,0.5954198473282443,1.227866766987491,48.0,1.2569999670328293
0.002,4,normalized,0.0001,FR>0.2%_Cons>=4_Norm<0.01%,69,0.07621684742371139,0.07686925567680884,0.9915127543859608,0.855072463768116,5.258962472236086,41.78260869565217,0.123115983038105
0.002,4,normalized,0.0003,FR>0.2%_Cons>=4_Norm<0.03%,114,0.048424873312728926,0.08684640261221006,0.5575921610588472,0.8245614035087719,5.520435557651098,35.28947368421053,0.9849688795127548
0.002,4,normalized,0.0005,FR>0.2%_Cons>=4_Norm<0.05%,131,0.04434912135581733,0.07846651306182152,0.5651980650761927,0.816793893129771,5.809734897612071,28.458015267175572,0.4358481537413006
0.002,4,fixed_or_normalized,"(24, 0.0003)",FR>0.2%_Cons>=4_Max24h_OR_Norm<0.03%,133,0.036324712092011505,0.08065636539597064,0.4503638604799589,0.8270676691729323,4.83118670823753,21.834586466165412,0.9560040371224559
0.002,4,fixed_or_normalized,"(48, 0.0003)",FR>0.2%_Cons>=4_Max48h_OR_Norm<0.03%,133,0.02848627322409584,0.09478140386165664,0.3005470700315278,0.7443609022556391,3.7886743388047464,34.86466165413534,0.9849688795127549
0.002,6,fixed,4,FR>0.2%_Cons>=6_Fixed4h,83,0.021190556952746673,0.07278052006824104,0.2911569872388631,0.5421686746987951,1.7588162270779737,4.0,0.25756091845254114
0.002,6,fixed,8,FR>0.2%_Cons>=6_Fixed8h,83,0.02070427109233061,0.11170608727206513,0.18534595202412238,0.6024096385542169,1.7184545006634409,8.0,1.0178353973839829
0.002,6,fixed,12,FR>0.2%_Cons>=6_Fixed12h,83,0.016947844829208327,0.10743634540803235,0.15774777860175837,0.6626506024096386,1.406671120824291,12.0,1.3565203097489469
0.002,6,fixed,24,FR>0.2%_Cons>=6_Fixed24h,83,0.03555020460343789,0.08694381201042432,0.4088871166492622,0.7951807228915663,2.950666982085345,24.0,0.7413892037007928
0.002,6,fixed,36,FR>0.2%_Cons>=6_Fixed36h,83,0.02560138669786734,0.09097967907022653,0.281396757600187,0.7349397590361446,2.124915095922989,36.0,0.9051466471527587
0.002,6,fixed,48,FR>0.2%_Cons>=6_Fixed48h,83,0.009079126346173848,0.09526809393194474,0.095300808187257,0.5903614457831325,0.7535674867324293,48.0,0.947272163105157
0.002,6,normalized,0.0001,FR>0.2%_Cons>=6_Norm<0.01%,43,0.09132829543002237,0.07456461143015447,1.224820912740498,0.8837209302325582,3.9271167034909618,48.55813953488372,0.12122600644214598
0.002,6,normalized,0.0003,FR>0.2%_Cons>=6_Norm<0.03%,73,0.052601033591792586,0.09445013493253286,0.5569185648000005,0.8082191780821918,3.8398754522008587,38.21917808219178,0.7102672764121811
0.002,6,normalized,0.0005,FR>0.2%_Cons>=6_Norm<0.05%,83,0.05234954907294609,0.07860629000833336,0.6659715026290683,0.8554216867469879,4.345012573054525,30.36144578313253,0.1554137051474891
0.002,6,fixed_or_normalized,"(24, 0.0003)",FR>0.2%_Cons>=6_Max24h_OR_Norm<0.03%,83,0.03600482399906318,0.0881525563658329,0.4084376617467932,0.8192771084337349,2.988400391922244,22.879518072289155,0.6824717558465162
0.002,6,fixed_or_normalized,"(48, 0.0003)",FR>0.2%_Cons>=6_Max48h_OR_Norm<0.03%,83,0.03624139959434083,0.09782736808489814,0.3704627887248201,0.7469879518072289,3.0080361663302884,36.95180722891566,0.7102672764121811
0.002,8,fixed,4,FR>0.2%_Cons>=8_Fixed4h,60,0.02290940559081813,0.07438784377283153,0.30797243781900385,0.5333333333333333,1.374564335449088,4.0,0.13064792224774102
0.002,8,fixed,8,FR>0.2%_Cons>=8_Fixed8h,60,0.015533451070056098,0.11117845450916511,0.13971637884906543,0.6166666666666667,0.9320070642033659,8.0,0.8038329341176079
0.002,8,fixed,12,FR>0.2%_Cons>=8_Fixed12h,60,0.021146388232800517,0.09571387124548178,0.22093337107393138,0.75,1.268783293968031,12.0,0.6464322006975676
0.002,8,fixed,24,FR>0.2%_Cons>=8_Fixed24h,60,0.03616641990490244,0.08210936336033281,0.44046645138615836,0.85,2.1699851942941466,24.0,0.4791789124230066
0.002,8,fixed,36,FR>0.2%_Cons>=8_Fixed36h,60,0.022281551932309764,0.08862935602020547,0.25140148741721735,0.7833333333333333,1.336893115938586,36.0,0.53905668630545
0.002,8,fixed,48,FR>0.2%_Cons>=8_Fixed48h,60,0.008524829576583855,0.09419143065562782,0.09050536250745976,0.6,0.5114897745950313,48.0,0.9283990011076559
0.002,8,normalized,0.0001,FR>0.2%_Cons>=8_Norm<0.01%,32,0.09234660330384324,0.06668490025030174,1.3848202960073466,0.90625,2.9550913057229837,52.5,0.08003914722311423
0.002,8,normalized,0.0003,FR>0.2%_Cons>=8_Norm<0.03%,54,0.05666119955258803,0.08790918360466544,0.6445424383349746,0.8518518518518519,3.0597047758397538,39.72222222222222,0.4371916197545091
0.002,8,normalized,0.0005,FR>0.2%_Cons>=8_Norm<0.05%,60,0.05330267397891652,0.07317491501602286,0.7284282320962726,0.8833333333333333,3.198160438734991,31.416666666666668,0.11791571359822628
0.002,8,fixed_or_normalized,"(24, 0.0003)",FR>0.2%_Cons>=8_Max24h_OR_Norm<0.03%,60,0.03693754731928509,0.08504793332328103,0.43431446098612964,0.8666666666666667,2.2162528391571055,23.433333333333334,0.4791789124230066
