target_coin,hedge_coins,n_hedges,hour,position_type,weights,target_funding,hedge_funding_total,funding_pnl,price_pnl,hedge_pnl,gross_pnl,trading_fee,net_pnl,valid,correlation,net_funding,reached_threshold
MERL,"KAS,ZEREBRO,ACE",3,2025-12-02 01:00:00,long,"0.4526,0.3227,0.1767",-0.0022952553,1.1899485448395304e-05,0.002307154785448395,-0.0057805051777984895,-0.022172791184864326,-0.02564614157721442,0.001756762952284462,-0.02740290452949888,True,0.22164671635511443,0.002283355814551605,False
MERL,"BRETT,ACE,COMP",3,2025-12-02 02:00:00,long,"0.4823,0.2605,0.2283",-0.0021102418,-2.1304597863058727e-07,0.0021100287540213696,0.00578655865090516,-0.004559735360853488,0.0033368520440730416,0.0017739712331488727,0.001562880810924169,True,0.21401668576904015,0.0021104548459786304,False
MERL,"BRETT,ACE,COMP",3,2025-12-02 03:00:00,long,"0.4828,0.2604,0.2271",-0.0021309072,1.4156281557044267e-06,0.002132322828155705,-0.04577956768307723,0.00010881206472047032,-0.04353843279020105,0.0017733110752350967,-0.04531174386543615,True,0.21427611909661037,0.0021294915718442957,False
TNSR,"DYM,TRX",2,2025-12-02 03:00:00,long,"0.9178,1.0934",-0.0012205481,-0.0004257369899250839,0.000794811110074916,0.04729612241349335,-0.02300798555150318,0.02508294797206508,0.0027101025529184257,0.022372845419146654,True,0.704389672340263,0.0016462850899250838,True
MERL,"BRETT,ACE,COMP",3,2025-12-02 04:00:00,long,"0.4817,0.2604,0.2275",-0.0018635625,8.192627923878188e-06,0.0018717551279238782,-0.046080964685615844,0.003950361676967051,-0.04025884788072492,0.0017726207717610161,-0.042031468652485936,True,0.2138675554621885,0.0018553698720761218,False
TNSR,"DYM,TRX",2,2025-12-02 04:00:00,long,"0.9153,1.1166",-0.0012063552,-0.0003551187993033291,0.0008512364006966708,0.008052465548729959,0.016046464038853285,0.024950165988279913,0.0027286742517406712,0.022221491736539242,True,0.7032587139018689,0.0015614739993033292,True
MERL,"BRETT,ACE,ZEREBRO",3,2025-12-02 05:00:00,long,"0.4830,0.2612,0.1701",-0.0012859235,8.391204685996049e-06,0.001294314704685996,-0.0017757712565837913,-0.001728476359936631,-0.002209932911834426,0.0017229069511947902,-0.003932839863029216,True,0.21471112702517983,0.001277532295314004,False
TNSR,DYM,1,2025-12-02 05:00:00,long,0.9221,-0.0021602133,-0.0005259985832945788,0.001634214716705421,-0.02750555875813221,0.004945580659591839,-0.020925763381834946,0.0017298789571915602,-0.022655642339026505,True,0.7010392066642184,0.002686211883294579,True
TNSR,DYM,1,2025-12-02 06:00:00,long,0.9227,-0.0020551439,-0.000515003966394029,0.001540139933605971,-0.007621305783724219,0.005399212468620566,-0.0006819533814976814,0.0017304623978205433,-0.0024124157793182248,True,0.7008592373807596,0.002570147866394029,True
TNSR,"DYM,TRX",2,2025-12-02 07:00:00,long,"0.9237,1.0736",-0.0015880743,-0.0004013943254142371,0.001186679974585763,-0.007850499189350657,-0.00030215754389950654,-0.006965976758664401,0.0026975913467145876,-0.009663568105378988,True,0.7045504401036505,0.001989468625414237,True
