coin,entry_hour,direction,holding_hours,entry_price,exit_price,exit_hour,price_return,funding_collected,entry_funding,trading_fee,gross_pnl,net_pnl,valid,fr_magnitude,fr_bucket,entry_hour_of_day
TNSR,2025-12-14 04:00:00,long,8,0.10233,0.09668,2025-12-14 12:00:00,-0.05521352487051698,0.009325625499999999,-0.0012527774,0.0009,-0.04588789937051698,-0.04678789937051698,True,0.0012527774,0.10-0.20%,4
TNSR,2025-12-14 05:00:00,long,8,0.10108,0.09661,2025-12-14 13:00:00,-0.04422239810051446,0.0089551555,-0.001402829,0.0009,-0.03526724260051446,-0.03616724260051446,True,0.001402829,0.10-0.20%,5
TNSR,2025-12-14 07:00:00,long,8,0.10114,0.09623,2025-12-14 15:00:00,-0.04854656911212179,0.008134967199999999,-0.0011692303,0.0009,-0.040411601912121786,-0.041311601912121784,True,0.0011692303,0.10-0.20%,7
TNSR,2025-12-14 08:00:00,long,8,0.09943,0.09647,2025-12-14 16:00:00,-0.029769687217137727,0.007917271799999999,-0.0015869781,0.0009,-0.021852415417137727,-0.02275241541713773,True,0.0015869781,0.10-0.20%,8
TNSR,2025-12-14 09:00:00,long,8,0.09838,0.09638,2025-12-14 17:00:00,-0.020329335230737974,0.0071060527000000005,-0.00130194,0.0009,-0.013223282530737974,-0.014123282530737974,True,0.00130194,0.10-0.20%,9
MOVE,2025-12-14 10:00:00,long,8,0.045306,0.043518,2025-12-14 18:00:00,-0.03946497152695003,0.024749768499999998,-0.0071476807,0.0009,-0.014715203026950029,-0.015615203026950028,True,0.0071476807,0.50-1.0%,10
TURBO,2025-12-14 10:00:00,long,8,0.002065,0.00206,2025-12-14 18:00:00,-0.00242130750605317,0.0062227095000000005,-0.0010234051,0.0009,0.0038014019939468305,0.0029014019939468307,True,0.0010234051,0.10-0.20%,10
MOVE,2025-12-14 11:00:00,long,8,0.044074,0.043087,2025-12-14 19:00:00,-0.022394155284294635,0.0186387691,-0.0048757525,0.0009,-0.0037553861842946346,-0.004655386184294634,True,0.0048757525,0.30-0.50%,11
TURBO,2025-12-14 11:00:00,long,8,0.002068,0.002033,2025-12-14 19:00:00,-0.016924564796905163,0.005493334,-0.0010778986,0.0009,-0.011431230796905164,-0.012331230796905164,True,0.0010778986,0.10-0.20%,11
MOVE,2025-12-14 12:00:00,long,8,0.042744,0.042883,2025-12-14 20:00:00,0.003251918397903805,0.015323319699999999,-0.0033490525,0.0009,0.018575238097903804,0.017675238097903802,True,0.0033490525,0.30-0.50%,12
MOVE,2025-12-14 13:00:00,long,8,0.042584,0.043694,2025-12-14 21:00:00,0.026066128123238774,0.013663687400000001,-0.0023915125,0.0009,0.03972981552323877,0.038829815523238775,True,0.0023915125,0.20-0.30%,13
LAYER,2025-12-14 14:00:00,long,8,0.19324,0.18705,2025-12-14 22:00:00,-0.03203270544400746,0.0041446679,-0.0013824986,0.0009,-0.027888037544007458,-0.02878803754400746,True,0.0013824986,0.10-0.20%,14
MOVE,2025-12-14 14:00:00,long,8,0.044137,0.043412,2025-12-14 22:00:00,-0.016426127738632064,0.012271333,-0.0017419656,0.0009,-0.004154794738632063,-0.005054794738632063,True,0.0017419656,0.10-0.20%,14
MOVE,2025-12-14 15:00:00,long,8,0.043229,0.04267,2025-12-14 23:00:00,-0.012931134192324528,0.0119227344,-0.0028413518,0.0009,-0.001008399792324529,-0.001908399792324529,True,0.0028413518,0.20-0.30%,15
MOVE,2025-12-14 16:00:00,long,8,0.042818,0.041311,2025-12-15 00:00:00,-0.03519547853706388,0.010687541899999998,-0.001503008,0.0009,-0.024507936637063882,-0.025407936637063883,True,0.001503008,0.10-0.20%,16
MOVE,2025-12-14 18:00:00,long,8,0.043518,0.040666,2025-12-15 02:00:00,-0.06553610000459581,0.012167911799999999,-0.0010366813,0.0009,-0.05336818820459581,-0.05426818820459581,True,0.0010366813,0.10-0.20%,18
MOVE,2025-12-14 19:00:00,long,8,0.043087,0.040782,2025-12-15 03:00:00,-0.05349641423167084,0.013451367799999999,-0.0015603031,0.0009,-0.04004504643167084,-0.04094504643167084,True,0.0015603031,0.10-0.20%,19
MOVE,2025-12-14 20:00:00,long,8,0.042883,0.040861,2025-12-15 04:00:00,-0.04715155189702204,0.0139554497,-0.0016894202,0.0009,-0.03319610219702204,-0.03409610219702204,True,0.0016894202,0.10-0.20%,20
MOVE,2025-12-14 22:00:00,long,8,0.043412,0.042422,2025-12-15 06:00:00,-0.022804754445775312,0.0140519904,-0.001393367,0.0009,-0.008752764045775312,-0.009652764045775312,True,0.001393367,0.10-0.20%,22
MOVE,2025-12-14 23:00:00,long,8,0.04267,0.041659,2025-12-15 07:00:00,-0.023693461448324304,0.014066382300000001,-0.0016061593,0.0009,-0.009627079148324303,-0.010527079148324302,True,0.0016061593,0.10-0.20%,23
MOVE,2025-12-15 00:00:00,long,8,0.041311,0.040866,2025-12-15 08:00:00,-0.010771949359734719,0.014348131900000002,-0.0014343773,0.0009,0.003576182540265283,0.002676182540265283,True,0.0014343773,0.10-0.20%,0
LAYER,2025-12-15 01:00:00,long,8,0.19069,0.18942,2025-12-15 09:00:00,-0.006660024122921986,0.0058178616,-0.0013632506,0.0009,-0.0008421625229219857,-0.0017421625229219857,True,0.0013632506,0.10-0.20%,1
MOVE,2025-12-15 01:00:00,long,8,0.041305,0.04005,2025-12-15 09:00:00,-0.03038373078319814,0.0159046999,-0.0024484455,0.0009,-0.01447903088319814,-0.01537903088319814,True,0.0024484455,0.20-0.30%,1
LAYER,2025-12-15 02:00:00,long,8,0.19021,0.19067,2025-12-15 10:00:00,0.002418379685610725,0.005033257799999999,-0.0014372424,0.0009,0.007451637485610724,0.006551637485610724,True,0.0014372424,0.10-0.20%,2
MOVE,2025-12-15 02:00:00,long,8,0.040666,0.04025,2025-12-15 10:00:00,-0.010229675896326161,0.0157750779,-0.0023201373,0.0009,0.005545402003673839,0.004645402003673839,True,0.0023201373,0.20-0.30%,2
LAYER,2025-12-15 03:00:00,long,8,0.1911,0.19053,2025-12-15 11:00:00,-0.0029827315541600587,0.0039392392,-0.0010330231,0.0009,0.0009565076458399411,5.650764583994112e-05,True,0.0010330231,0.10-0.20%,3
MOVE,2025-12-15 03:00:00,long,8,0.040782,0.040481,2025-12-15 11:00:00,-0.0073807071747338466,0.0159208447,-0.002064385,0.0009,0.008540137525266153,0.0076401375252661535,True,0.002064385,0.20-0.30%,3
MOVE,2025-12-15 04:00:00,long,8,0.040861,0.040563,2025-12-15 12:00:00,-0.0072930177920266185,0.0162258182,-0.0013794098,0.0009,0.00893280040797338,0.00803280040797338,True,0.0013794098,0.10-0.20%,4
MOVE,2025-12-15 05:00:00,long,8,0.04103,0.040234,2025-12-15 13:00:00,-0.01940043870338772,0.0168486946,-0.0014057092,0.0009,-0.00255174410338772,-0.00345174410338772,True,0.0014057092,0.10-0.20%,5
MOVE,2025-12-15 06:00:00,long,8,0.042422,0.039714,2025-12-15 14:00:00,-0.06383480269671402,0.017024845799999997,-0.0014077589,0.0009,-0.04680995689671402,-0.04770995689671402,True,0.0014077589,0.10-0.20%,6
MOVE,2025-12-15 07:00:00,long,8,0.041659,0.039546,2025-12-15 15:00:00,-0.05072133272522153,0.0172615459,-0.0018879089,0.0009,-0.03345978682522153,-0.034359786825221526,True,0.0018879089,0.10-0.20%,7
MOVE,2025-12-15 08:00:00,long,8,0.040866,0.0389,2025-12-15 16:00:00,-0.04810845201389915,0.0168762225,-0.0029909453,0.0009,-0.03123222951389915,-0.03213222951389915,True,0.0029909453,0.20-0.30%,8
MOVE,2025-12-15 09:00:00,long,8,0.04005,0.037974,2025-12-15 17:00:00,-0.051835205992509396,0.014631793,-0.0023188235,0.0009,-0.0372034129925094,-0.0381034129925094,True,0.0023188235,0.20-0.30%,9
