entry_threshold,exit_threshold,min_consecutive,config,n_trades,avg_pnl,std_pnl,sharpe,win_rate,total_pnl,total_dollar_pnl,final_capital,total_return,avg_hold,avg_positions,max_positions,avg_exposure
0.001,0.0001,1,Entry>0.10%_Exit<0.010%_Cons>=1,106,0.017779611278585895,0.18760873031538602,0.09476963704565813,0.5849056603773585,1.8846387955301047,19140.447910098883,119140.44791009894,0.1914044791009894,28.764150943396228,0.7647058823529411,10,0.0764523140356158
0.001,0.0001,2,Entry>0.10%_Exit<0.010%_Cons>=2,100,0.019497318376603352,0.18099686503958085,0.10772185679757287,0.59,1.9497318376603352,20036.4136493655,120036.41364936548,0.2003641364936548,30.18,0.7294117647058823,10,0.07296924466066815
0.001,0.0001,3,Entry>0.10%_Exit<0.010%_Cons>=3,92,0.01960436074213268,0.16294356198525603,0.12031380990619674,0.6195652173913043,1.8036011882762066,18681.275847000885,118681.2758470009,0.186812758470009,32.15217391304348,0.7019607843137254,10,0.07025449420668793
0.001,0.0001,4,Entry>0.10%_Exit<0.010%_Cons>=4,90,0.02026084854094483,0.17690710468281898,0.11452817894041618,0.6222222222222222,1.8234763686850346,18781.872249387266,118781.87224938728,0.18781872249387277,32.544444444444444,0.6862745098039216,9,0.06868096129089513
0.001,0.0002,1,Entry>0.10%_Exit<0.020%_Cons>=1,113,0.012187534400842723,0.16511396736109651,0.07381286147760689,0.5752212389380531,1.3771913872952277,13557.932783663233,113557.93278366327,0.13557932783663273,21.75221238938053,0.6784313725490196,8,0.06786445899849883
0.001,0.0002,2,Entry>0.10%_Exit<0.020%_Cons>=2,107,0.012193600095511858,0.15991916240466214,0.07624852401775946,0.5887850467289719,1.3047152102197688,12777.192876110992,112777.192876111,0.12777192876111004,22.738317757009344,0.6431372549019608,8,0.06438427873507248
0.001,0.0002,3,Entry>0.10%_Exit<0.020%_Cons>=3,99,0.012370753890972704,0.14361578334146025,0.08613784364884224,0.6161616161616161,1.2247046352062976,12175.445656131458,112175.44565613141,0.12175445656131414,24.050505050505052,0.6196078431372549,8,0.06201762347106089
0.001,0.0002,4,Entry>0.10%_Exit<0.020%_Cons>=4,97,0.01256311140502298,0.1563338222042064,0.0803608024667419,0.5979381443298969,1.2186218062872292,11911.202205669497,111911.20220566953,0.11911202205669527,24.2680412371134,0.6078431372549019,8,0.06083242010876125
0.001,0.0003,1,Entry>0.10%_Exit<0.030%_Cons>=1,125,0.006929607965532796,0.09989097571240532,0.06937171166976816,0.568,0.8662009956915995,8752.671972850207,108752.67197285018,0.08752671972850178,16.768,0.6235294117647059,8,0.06247419539104555
0.001,0.0003,2,Entry>0.10%_Exit<0.030%_Cons>=2,119,0.006694494865190662,0.09970232476658322,0.06714482215799271,0.5798319327731093,0.7966448889576887,7932.615299002466,107932.61529900241,0.07932615299002413,17.42016806722689,0.592156862745098,8,0.059371276213723394
